Disease,Cases,Count,Fullname,Shortname,Group,Including,Forecasting,Label
HepatitisA,8610,36,Hepatitis A,HAV,Gastrointestinal ID,1,1,
HepatitisC,13665,36,Hepatitis C,HCV,Sexually ID,1,1,
Chancroid,15172,36,Chancroid,Chancroid,Sexually ID,1,1,
Scarlet fever,21223,36,Scarlet fever,Scarlet fever,Respiratory ID,1,1,
Genital Herpes Simplex,33028,36,Genital herpes simplex,Genital herpes,Sexually ID,1,1,
HepatitisE,786,36,Hepatitis E,HEV,Gastrointestinal ID,1,0,Insufficient cases
Hepatitis_uns,31227,36,Unspecifed hepatitis,Unspecifed hepatitis,Others,1,0,Unspecifed disease
Typhoid,36253,36,Typhoid,Typhoid,Gastrointestinal ID,1,1,
Japanese B encephalitis,54,14,Japanese encephalitis,JE,Vector-borne and zoonotic ID,1,0,Insufficient cases
Kala azar,20,36,Kala azar,Leishmaniasis,Vector-borne and zoonotic ID,1,0,Insufficient cases
L.G.V.&other&unsp.V.D,10550,36,Lymphogranuloma venereum and other venereal disease,LGV and other VD,Sexually ID,1,0,Unspecifed disease
"Dysentery,Bacillary",40682,36,Bacillary dysentery,Shigellosis,Gastrointestinal ID,1,1,
"Dysentery,Amoebic",42040,36,Amoebic dysentery,Amebiasis,Gastrointestinal ID,1,1,
Measles,48800,36,Measles,Measles,Vaccine preventable ID,1,1,
Melioidosis,49458,36,Melioidosis,Melioidosis,Gastrointestinal ID,1,1,
Condyloma Acuminata,52445,36,Condyloma acuminata,CA,Sexually ID,1,1,
Measles c Complication,2778,18,Measles c Complication,Measles complications,Vaccine preventable ID,0,0,Duplication
Leptospirosis,58073,36,Leptospirosis,Leptospirosis,Vector-borne and zoonotic ID,1,1,
"Meningitis,uns",29594,36,Unspecifed meningitis,Other meningitis,Others,1,0,Unspecifed disease
Meningococcal Meningitis,405,36,Meningococcal Meningitis,Meningococcal,Vaccine preventable ID,1,0,Insufficient cases
T.B. other organs,85995,36,Tuberculosis other organs,Other TB,Respiratory ID,1,1,
Mushroom poisoning,33001,36,Mushroom poisoning,Mushroom poisoning,Others,1,0,Uninfectious disease
N.S.U._V,44549,36,Non-specific urethritis / viral,Non-specific urethritis,Sexually ID,1,0,Unspecifed disease
Other STI,182861,30,Other sexually ID,Other sexually ID,Sexually ID,1,0,Unspecifed disease
Chikungunya,88492,34,Chikungunya,Chikungunya,Vector-borne and zoonotic ID,1,1,
Pediculosis Pubis,24,12,Pediculosis pubis,Pediculosis,Sexually ID,1,0,Insufficient cases
Mumps,102335,36,Mumps,Mumps,Vaccine preventable ID,1,1,
HepatitisB,113802,36,Hepatitis B,HBV,Sexually ID,1,1,
Poliomyelitis,0,36,Poliomyelitis,Poliomyelitis,Vaccine preventable ID,1,0,Insufficient cases
Syphilis,114486,36,Syphilis,Syphilis,Sexually ID,1,1,
Rabies,310,36,Rabies,Rabies,Vector-borne and zoonotic ID,1,0,Insufficient cases
Scrub Typhus,124019,36,Scrub Typhus,Scrub Typhus,Vector-borne and zoonotic ID,1,1,
Gonorrhoea,143184,36,Gonorrhoea,Gonorrhoea,Sexually ID,1,1,
Malaria,202654,36,Malaria,Malaria,Vector-borne and zoonotic ID,1,1,
Pulmonary T.B,238099,36,Pulmonary tuberculosis,Pulmonary TB,Respiratory ID,1,1,
HFM,796112,36,"Hand, food and month disease",HFMD,Gastrointestinal ID,1,1,
Dengue fever,865097,36,Dengue fever,Dengue fever,Vector-borne and zoonotic ID,1,1,
Chickenpox,906194,36,Chickenpox,Chickenpox,Vaccine preventable ID,1,1,
Influenza,2465377,36,Influenza,Influenza,Respiratory ID,1,1,
Tetanus neonatorum,21,36,Tetanus neonatorum,Neonatal tetanus,Vaccine preventable ID,1,0,Insufficient cases
Trichinosis,287,36,Trichinosis,Trichinosis,Vector-borne and zoonotic ID,1,0,Insufficient cases
Pneumonia,3701492,36,Pneumonia,Pneumonia,Respiratory ID,1,1,
Vaginal trichomoniasis,2216,12,Vaginal trichomoniasis,Trichomoniasis,Sexually ID,1,0,Insufficient duration
Zika virus,1731,12,Zika virus,Zika virus,Vector-borne and zoonotic ID,1,0,Insufficient duration
