"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"89","Leptospirosis","SARIMA","2018-2019",2018-05-01,226.359115091247,100.073843114265,138.033058266684,336.418845227452,403.478721967116
"90","Leptospirosis","SARIMA","2018-2019",2018-06-01,317.474629531307,159.390594621743,208.006081616076,450.000684377052,529.489401892939
"91","Leptospirosis","SARIMA","2018-2019",2018-07-01,377.143148612942,198.726577045571,254.069719975182,524.445857260972,612.231195670895
"92","Leptospirosis","SARIMA","2018-2019",2018-08-01,408.22039267298,218.111340852887,277.227137667613,564.480105820009,657.426844940057
"93","Leptospirosis","SARIMA","2018-2019",2018-09-01,385.683744226514,198.953489998809,256.656775018964,540.895214175846,633.658669834962
"94","Leptospirosis","SARIMA","2018-2019",2018-10-01,520.040286269366,295.339264140861,365.970486657096,701.107177362438,807.886602336555
"95","Leptospirosis","SARIMA","2018-2019",2018-11-01,351.518826564287,170.446696131172,225.786051695192,504.967943674115,597.418554405102
"96","Leptospirosis","SARIMA","2018-2019",2018-12-01,280.042409758077,120.475680633187,168.20275637782,420.235030943003,505.925782190008
"97","Leptospirosis","SARIMA","2018-2019",2019-01-01,300.745704730014,123.315207745979,175.925234524113,458.831894537769,555.983607146397
"98","Leptospirosis","SARIMA","2018-2019",2019-02-01,218.91958198576,68.8576879277017,111.243368976518,362.699277136007,453.426313133955
"99","Leptospirosis","SARIMA","2018-2019",2019-03-01,194.579142107202,53.4310116080838,92.3102050444152,334.542593437554,423.893480621507
"100","Leptospirosis","SARIMA","2018-2019",2019-04-01,170.256948476023,39.5119571352663,74.4175088820287,305.199183861078,392.462071209333
"101","Leptospirosis","SARIMA","2018-2019",2019-05-01,220.022524662486,63.4223462758765,106.94735258029,373.447014268452,470.998407079126
"102","Leptospirosis","SARIMA","2018-2019",2019-06-01,310.404131892548,113.543121649372,170.711779944639,491.549143045544,604.221525452304
"103","Leptospirosis","SARIMA","2018-2019",2019-07-01,369.887294336626,148.554294970046,213.935076461542,568.268778649203,690.460928669514
"104","Leptospirosis","SARIMA","2018-2019",2019-08-01,401.114966193559,166.727248723114,236.397926330365,609.1257018694,736.765190024208
"105","Leptospirosis","SARIMA","2018-2019",2019-09-01,379.185063707988,151.15494671784,218.422516073606,584.006443223661,710.2673147296
"106","Leptospirosis","SARIMA","2018-2019",2019-10-01,512.934967362061,237.620458061104,321.075560892593,749.530453032428,892.885669521567
"107","Leptospirosis","SARIMA","2018-2019",2019-11-01,346.025577361005,128.150051720798,191.564837927239,545.821849118438,669.939396662602
"108","Leptospirosis","SARIMA","2018-2019",2019-12-01,275.430508553502,85.973490677096,139.41119474073,457.315941413918,572.166844690906
"109","Leptospirosis","SARIMA","2017-2019",2017-01-01,142.778597640996,69.599118436196,91.9855041907305,204.69289146349,241.970192519621
"110","Leptospirosis","SARIMA","2017-2019",2017-02-01,100.857359905448,31.6100601165841,51.1564082380213,167.267201694769,209.186194788065
"111","Leptospirosis","SARIMA","2017-2019",2017-03-01,102.175481177423,28.4159859974406,48.7809171877484,175.086986802245,221.584450013184
"112","Leptospirosis","SARIMA","2017-2019",2017-04-01,86.5967414609416,18.9965966615948,36.8560476332181,157.265541036356,203.147025572799
"113","Leptospirosis","SARIMA","2017-2019",2017-05-01,111.265152313285,30.4469892035601,52.6939556405371,191.473621958368,242.692173152788
"114","Leptospirosis","SARIMA","2017-2019",2017-06-01,164.659843856076,60.2234498169594,90.5511876968764,260.762154002301,320.538658897622
"115","Leptospirosis","SARIMA","2017-2019",2017-07-01,208.831168581936,87.5867170503875,123.684913359968,316.150163017992,381.936915471731
"116","Leptospirosis","SARIMA","2017-2019",2017-08-01,228.626720771682,100.357750731492,138.863564771974,340.652591217155,408.967435227399
"117","Leptospirosis","SARIMA","2017-2019",2017-09-01,236.56919514643,105.536507376699,144.986985170842,350.459290731487,419.779281172645
"118","Leptospirosis","SARIMA","2017-2019",2017-10-01,303.432113748169,151.511611389495,198.18611130327,431.00861224505,507.58289943206
"119","Leptospirosis","SARIMA","2017-2019",2017-11-01,215.613774203811,91.6273149592811,128.62990066519,324.939327430612,391.856674924539
"120","Leptospirosis","SARIMA","2017-2019",2017-12-01,132.079810113532,40.709744017507,66.4212564606166,220.085307369574,275.718629806742
