"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"164","Syphilis","ARIMA + Fourier","2018-2019",2018-08-01,500.178854864548,343.820445120857,394.635003731095,618.215271297069,685.756956974689
"165","Syphilis","ARIMA + Fourier","2018-2019",2018-09-01,477.039399534407,323.692952312736,373.417249253743,593.334388879395,660.027193429421
"166","Syphilis","ARIMA + Fourier","2018-2019",2018-10-01,444.451818867688,296.072730578114,344.033068111774,557.711843117636,622.866216327675
"167","Syphilis","ARIMA + Fourier","2018-2019",2018-11-01,410.510777817829,267.698833250691,313.689429017621,520.334942412981,583.735873593724
"168","Syphilis","ARIMA + Fourier","2018-2019",2018-12-01,344.120034011276,213.959878593347,255.529561179825,445.870809680386,505.061697563037
"169","Syphilis","ARIMA + Fourier","2018-2019",2019-01-01,529.440381845517,363.413925866991,417.357147067522,654.839004573283,726.61108484761
"170","Syphilis","ARIMA + Fourier","2018-2019",2019-02-01,523.23986326725,357.420967674831,411.251674466182,648.697096691491,720.562403702608
"171","Syphilis","ARIMA + Fourier","2018-2019",2019-03-01,544.67407849435,374.304370417869,429.669828287505,673.300178410143,746.904837398169
"172","Syphilis","ARIMA + Fourier","2018-2019",2019-04-01,456.187236322476,300.848465574855,350.970877277954,575.177741720974,643.743274655932
"173","Syphilis","ARIMA + Fourier","2018-2019",2019-05-01,474.086345799086,314.632542312529,366.139081404882,595.959749357077,666.112922969567
"174","Syphilis","ARIMA + Fourier","2018-2019",2019-06-01,532.888346500583,362.01904069325,417.436704359359,662.417938951791,736.685507184811
"175","Syphilis","ARIMA + Fourier","2018-2019",2019-07-01,524.905778918754,354.623220470279,409.797637029154,654.243573612738,728.471019304178
"176","Syphilis","ARIMA + Fourier","2018-2019",2019-08-01,547.407283966267,372.323204680868,429.11946033204,680.076397902895,756.128720224303
"177","Syphilis","ARIMA + Fourier","2018-2019",2019-09-01,523.411576283686,351.771519240476,407.335552022853,654.02048945911,729.043574382571
"178","Syphilis","ARIMA + Fourier","2018-2019",2019-10-01,489.37919526206,323.203319901078,376.835887791077,616.606966993731,689.901541343146
"179","Syphilis","ARIMA + Fourier","2018-2019",2019-11-01,453.805490446035,293.687725241949,345.183252405256,577.263754172511,648.624223473688
"180","Syphilis","ARIMA + Fourier","2018-2019",2019-12-01,383.892226735531,237.361953549476,284.1142585047,498.657773747279,565.477945365523
"181","Syphilis","ARIMA + Fourier","2017-2019",2017-01-01,339.867102809837,246.002430179919,276.779434643025,409.426101246457,448.868000479105
"182","Syphilis","ARIMA + Fourier","2017-2019",2017-02-01,342.020524089486,228.676131787743,265.335573400961,428.426636602684,478.102388732687
"183","Syphilis","ARIMA + Fourier","2017-2019",2017-03-01,353.723157417235,226.445702391003,267.302195177635,452.229124753822,509.267035129866
"184","Syphilis","ARIMA + Fourier","2017-2019",2017-04-01,284.40711274921,166.470022600274,203.739375161991,378.497721165224,433.739848780519
"185","Syphilis","ARIMA + Fourier","2017-2019",2017-05-01,288.751113123375,165.129409937165,204.035579405655,388.139413543966,446.691926833227
"186","Syphilis","ARIMA + Fourier","2017-2019",2017-06-01,344.06118924119,204.38654871963,248.640025739119,454.945413685048,519.903412076396
"187","Syphilis","ARIMA + Fourier","2017-2019",2017-07-01,338.179312788082,196.467510796282,241.190960600198,451.519183048399,518.136768603805
"188","Syphilis","ARIMA + Fourier","2017-2019",2017-08-01,352.411561997532,205.043274745949,251.564164301057,470.216742558627,539.443536142803
"189","Syphilis","ARIMA + Fourier","2017-2019",2017-09-01,331.745462928895,186.665982045063,232.194895114234,449.008449898955,518.253699748463
"190","Syphilis","ARIMA + Fourier","2017-2019",2017-10-01,299.626228388351,161.030301896046,204.172557357023,413.330588962227,480.909907247145
"191","Syphilis","ARIMA + Fourier","2017-2019",2017-11-01,264.962651069103,133.862177798803,174.22453768711,374.652122612837,440.38971716928
"192","Syphilis","ARIMA + Fourier","2017-2019",2017-12-01,216.104775119957,98.5946245089255,134.117251226591,317.556135652775,379.140188578165
"193","Syphilis","ARIMA + Fourier","2017-2019",2018-01-01,344.383824026973,187.806594899165,236.672427045935,472.236406751711,548.070612899912
"194","Syphilis","ARIMA + Fourier","2017-2019",2018-02-01,347.035518243595,188.109770526636,237.65532234231,477.060085380866,554.247759740918
"195","Syphilis","ARIMA + Fourier","2017-2019",2018-03-01,354.910101435826,191.734157460815,242.574478702401,488.556447986364,567.931115589402
"196","Syphilis","ARIMA + Fourier","2017-2019",2018-04-01,286.947679566386,141.348152584762,185.972169286935,409.734468588534,483.563057954283
"197","Syphilis","ARIMA + Fourier","2017-2019",2018-05-01,288.560517158057,140.674738772959,185.915300753621,413.677447677359,489.006883193806
"198","Syphilis","ARIMA + Fourier","2017-2019",2018-06-01,345.90801017953,179.972449860589,231.328164583918,483.460208945301,565.575136153407
"199","Syphilis","ARIMA + Fourier","2017-2019",2018-07-01,337.42418067509,171.933204472134,222.96122752561,475.516139737345,558.182611333357
"200","Syphilis","ARIMA + Fourier","2017-2019",2018-08-01,353.863601419246,182.221825863456,235.246033175863,496.611994968568,581.946570205431
"201","Syphilis","ARIMA + Fourier","2017-2019",2018-09-01,330.789653265977,163.938153477304,215.131229648532,471.232694386288,555.61154436474
"202","Syphilis","ARIMA + Fourier","2017-2019",2018-10-01,300.788416941692,141.730444919839,190.09265824692,436.772219756093,518.994278290955
