Areas,Count,Month,Type,Year,Disease
Central Region,0,Total,Deaths,2008,Genital Herpes Simplex
Bangkok,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 1,0,Total,Deaths,2008,Genital Herpes Simplex
Nonthaburi,0,Total,Deaths,2008,Genital Herpes Simplex
P.Nakhon S.Ayutthaya,0,Total,Deaths,2008,Genital Herpes Simplex
Pathum Thani,0,Total,Deaths,2008,Genital Herpes Simplex
Saraburi,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 2,0,Total,Deaths,2008,Genital Herpes Simplex
Ang Thong,0,Total,Deaths,2008,Genital Herpes Simplex
Chai Nat,0,Total,Deaths,2008,Genital Herpes Simplex
Lop Buri,0,Total,Deaths,2008,Genital Herpes Simplex
Sing Buri,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 3,0,Total,Deaths,2008,Genital Herpes Simplex
Chachoengsao,0,Total,Deaths,2008,Genital Herpes Simplex
Nakhon Nayok,0,Total,Deaths,2008,Genital Herpes Simplex
Prachin Buri,0,Total,Deaths,2008,Genital Herpes Simplex
Sa Kaeo,0,Total,Deaths,2008,Genital Herpes Simplex
Samut Prakan,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 4,0,Total,Deaths,2008,Genital Herpes Simplex
Kanchanaburi,0,Total,Deaths,2008,Genital Herpes Simplex
Nakhon Pathom,0,Total,Deaths,2008,Genital Herpes Simplex
Ratchaburi,0,Total,Deaths,2008,Genital Herpes Simplex
Suphan Buri,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 5,0,Total,Deaths,2008,Genital Herpes Simplex
Phetchaburi,0,Total,Deaths,2008,Genital Herpes Simplex
Prachuap Khiri Khan,0,Total,Deaths,2008,Genital Herpes Simplex
Samut Sakhon,0,Total,Deaths,2008,Genital Herpes Simplex
Samut Songkhram,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 9,0,Total,Deaths,2008,Genital Herpes Simplex
Chanthaburi,0,Total,Deaths,2008,Genital Herpes Simplex
Chon Buri,0,Total,Deaths,2008,Genital Herpes Simplex
Rayong,0,Total,Deaths,2008,Genital Herpes Simplex
Trat,0,Total,Deaths,2008,Genital Herpes Simplex
South Region,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 6,0,Total,Deaths,2008,Genital Herpes Simplex
Chumphon,0,Total,Deaths,2008,Genital Herpes Simplex
Nakhon Si Thammarat,0,Total,Deaths,2008,Genital Herpes Simplex
Phatthalung,0,Total,Deaths,2008,Genital Herpes Simplex
Surat Thani,0,Total,Deaths,2008,Genital Herpes Simplex
Zone: 7,0,Total,Deaths,2008,Genital Herpes Simplex
