Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Buri Ram,3056,198.55,13,0.84,1539135,2004,Pneumonia
Chaiyaphum,2327,206.29,14,1.24,1128031,2004,Pneumonia
Nakhon Ratchasima,6192,241.38,37,1.44,2565197,2004,Pneumonia
Surin,6435,463.28,1,0.07,1389021,2004,Pneumonia
Zone:14,10771,259.33,1,0.02,4153368,2004,Pneumonia
Amnat Charoen,736,199.42,0,0.0,369071,2004,Pneumonia
Si Sa Ket,3036,208.95,1,0.07,1452971,2004,Pneumonia
Ubon Ratchathani,6158,345.14,0,0.0,1784192,2004,Pneumonia
Yasothon,841,153.71,0,0.0,547134,2004,Pneumonia
South Region,20401,240.97,84,0.99,8466275,2004,Pneumonia
Zone:15,4237,267.93,32,2.02,1581379,2004,Pneumonia
Chumphon,1134,238.94,3,0.63,474592,2004,Pneumonia
Ranong,392,230.72,17,10.01,169904,2004,Pneumonia
Surat Thani,2711,289.36,12,1.28,936883,2004,Pneumonia
Zone:16,4762,181.81,20,0.76,2619221,2004,Pneumonia
Nakhon Si Thammarat,1915,126.34,11,0.73,1515708,2004,Pneumonia
Phatthalung,1508,300.73,3,0.6,501447,2004,Pneumonia
Trang,1339,222.4,6,1.0,602066,2004,Pneumonia
Zone:17,2011,221.43,18,1.98,908170,2004,Pneumonia
Krabi,1272,329.46,12,3.11,386084,2004,Pneumonia
Phangnga,246,102.54,0,0.0,239895,2004,Pneumonia
Phuket,493,174.7,6,2.13,282191,2004,Pneumonia
Zone:18,6666,371.18,9,0.5,1795905,2004,Pneumonia
Narathiwat,3100,442.22,0,0.0,701008,2004,Pneumonia
Pattani,1105,174.78,4,0.63,632240,2004,Pneumonia
Yala,2461,531.93,5,1.08,462657,2004,Pneumonia
Zone:19,2725,174.5,5,0.32,1561600,2004,Pneumonia
Satun,368,134.49,0,0.0,273624,2004,Pneumonia
Songkhla,2357,183.0,5,0.39,1287976,2004,Pneumonia
Total,142769,229.55,920,1.48,62195878,2005,Pneumonia
