Areas,Age,Cases,Year,Disease
Ang Thong,<1,0,2019,Pediculosis Pubis
Lop Buri,<1,0,2019,Pediculosis Pubis
Nakhon Nayok,<1,0,2019,Pediculosis Pubis
Nonthaburi,<1,0,2019,Pediculosis Pubis
P.Nakhon S.Ayutthaya,<1,0,2019,Pediculosis Pubis
Pathum Thani,<1,0,2019,Pediculosis Pubis
Saraburi,<1,0,2019,Pediculosis Pubis
Sing Buri,<1,0,2019,Pediculosis Pubis
ZONE:05,<1,0,2019,Pediculosis Pubis
Kanchanaburi,<1,0,2019,Pediculosis Pubis
Nakhon Pathom,<1,0,2019,Pediculosis Pubis
Phetchaburi,<1,0,2019,Pediculosis Pubis
Prachuap Khiri Khan,<1,0,2019,Pediculosis Pubis
Ratchaburi,<1,0,2019,Pediculosis Pubis
Samut Sakhon,<1,0,2019,Pediculosis Pubis
Samut Songkhram,<1,0,2019,Pediculosis Pubis
Suphan Buri,<1,0,2019,Pediculosis Pubis
ZONE:06,<1,0,2019,Pediculosis Pubis
Chachoengsao,<1,0,2019,Pediculosis Pubis
Chanthaburi,<1,0,2019,Pediculosis Pubis
Chon Buri,<1,0,2019,Pediculosis Pubis
Prachin Buri,<1,0,2019,Pediculosis Pubis
Rayong,<1,0,2019,Pediculosis Pubis
Sa Kaeo,<1,0,2019,Pediculosis Pubis
Samut Prakan,<1,0,2019,Pediculosis Pubis
Trat,<1,0,2019,Pediculosis Pubis
ZONE:07,<1,0,2019,Pediculosis Pubis
Kalasin,<1,0,2019,Pediculosis Pubis
Khon Kaen,<1,0,2019,Pediculosis Pubis
Maha Sarakham,<1,0,2019,Pediculosis Pubis
Roi Et,<1,0,2019,Pediculosis Pubis
ZONE:08,<1,0,2019,Pediculosis Pubis
Bungkan,<1,0,2019,Pediculosis Pubis
Loei,<1,0,2019,Pediculosis Pubis
Nakhon Phanom,<1,0,2019,Pediculosis Pubis
Nong Bua Lam Phu,<1,0,2019,Pediculosis Pubis
Nong Khai,<1,0,2019,Pediculosis Pubis
Sakon Nakhon,<1,0,2019,Pediculosis Pubis
Udon Thani,<1,0,2019,Pediculosis Pubis
ZONE:09,<1,0,2019,Pediculosis Pubis
Buri Ram,<1,0,2019,Pediculosis Pubis
Chaiyaphum,<1,0,2019,Pediculosis Pubis
Nakhon Ratchasima,<1,0,2019,Pediculosis Pubis
Surin,<1,0,2019,Pediculosis Pubis
ZONE:10,<1,0,2019,Pediculosis Pubis
Amnat Charoen,<1,0,2019,Pediculosis Pubis
Mukdahan,<1,0,2019,Pediculosis Pubis
Si Sa Ket,<1,0,2019,Pediculosis Pubis
Ubon Ratchathani,<1,0,2019,Pediculosis Pubis
Yasothon,<1,0,2019,Pediculosis Pubis
ZONE:11,<1,0,2019,Pediculosis Pubis
Chumphon,<1,0,2019,Pediculosis Pubis
Krabi,<1,0,2019,Pediculosis Pubis
Nakhon Si Thammarat,<1,0,2019,Pediculosis Pubis
Phangnga,<1,0,2019,Pediculosis Pubis
Phuket,<1,0,2019,Pediculosis Pubis
Ranong,<1,0,2019,Pediculosis Pubis
Surat Thani,<1,0,2019,Pediculosis Pubis
ZONE:12,<1,0,2019,Pediculosis Pubis
Narathiwat,<1,0,2019,Pediculosis Pubis
Pattani,<1,0,2019,Pediculosis Pubis
Phatthalung,<1,0,2019,Pediculosis Pubis
Satun,<1,0,2019,Pediculosis Pubis
Songkhla,<1,0,2019,Pediculosis Pubis
Trang,<1,0,2019,Pediculosis Pubis
Yala,<1,0,2019,Pediculosis Pubis
ZONE:13,<1,0,2019,Pediculosis Pubis
Bangkok,<1,0,2019,Pediculosis Pubis
Total,1-1,0,2019,Pediculosis Pubis
ZONE:01,1-1,0,2019,Pediculosis Pubis
Chiang Mai,1-1,0,2019,Pediculosis Pubis
Chiang Rai,1-1,0,2019,Pediculosis Pubis
Lampang,1-1,0,2019,Pediculosis Pubis
Lamphun,1-1,0,2019,Pediculosis Pubis
Mae Hong Son,1-1,0,2019,Pediculosis Pubis
Nan,1-1,0,2019,Pediculosis Pubis
Phayao,1-1,0,2019,Pediculosis Pubis
Phrae,1-1,0,2019,Pediculosis Pubis
ZONE:02,1-1,0,2019,Pediculosis Pubis
Phetchabun,1-1,0,2019,Pediculosis Pubis
Phitsanulok,1-1,0,2019,Pediculosis Pubis
Sukhothai,1-1,0,2019,Pediculosis Pubis
Tak,1-1,0,2019,Pediculosis Pubis
Uttaradit,1-1,0,2019,Pediculosis Pubis
ZONE:03,1-1,0,2019,Pediculosis Pubis
Chai Nat,1-1,0,2019,Pediculosis Pubis
Kamphaeng Phet,1-1,0,2019,Pediculosis Pubis
Nakhon Sawan,1-1,0,2019,Pediculosis Pubis
Phichit,1-1,0,2019,Pediculosis Pubis
Uthai Thani,1-1,0,2019,Pediculosis Pubis
ZONE:04,1-1,0,2019,Pediculosis Pubis
Ang Thong,1-1,0,2019,Pediculosis Pubis
Lop Buri,1-1,0,2019,Pediculosis Pubis
