Areas,Count,Month,Type,Year,Disease
Khon Kaen,0,Total,Cases,2016,Botulism
Maha Sarakham,0,Total,Cases,2016,Botulism
Roi Et,0,Total,Cases,2016,Botulism
ZONE:08,0,Total,Cases,2016,Botulism
Bungkan,0,Total,Cases,2016,Botulism
Loei,0,Total,Cases,2016,Botulism
Nakhon Phanom,0,Total,Cases,2016,Botulism
Nong Bua Lam Phu,0,Total,Cases,2016,Botulism
Nong Khai,0,Total,Cases,2016,Botulism
Sakon Nakhon,0,Total,Cases,2016,Botulism
Udon Thani,0,Total,Cases,2016,Botulism
ZONE:09,0,Total,Cases,2016,Botulism
Buri Ram,0,Total,Cases,2016,Botulism
Chaiyaphum,0,Total,Cases,2016,Botulism
Nakhon Ratchasima,0,Total,Cases,2016,Botulism
Surin,0,Total,Cases,2016,Botulism
ZONE:10,4,Total,Cases,2016,Botulism
Amnat Charoen,0,Total,Cases,2016,Botulism
Mukdahan,0,Total,Cases,2016,Botulism
Si Sa Ket,0,Total,Cases,2016,Botulism
Ubon Ratchathani,4,Total,Cases,2016,Botulism
Yasothon,0,Total,Cases,2016,Botulism
ZONE:11,0,Total,Cases,2016,Botulism
Chumphon,0,Total,Cases,2016,Botulism
Krabi,0,Total,Cases,2016,Botulism
Nakhon Si Thammarat,0,Total,Cases,2016,Botulism
Phangnga,0,Total,Cases,2016,Botulism
Phuket,0,Total,Cases,2016,Botulism
Ranong,0,Total,Cases,2016,Botulism
Surat Thani,0,Total,Cases,2016,Botulism
ZONE:12,0,Total,Cases,2016,Botulism
Narathiwat,0,Total,Cases,2016,Botulism
Pattani,0,Total,Cases,2016,Botulism
Phatthalung,0,Total,Cases,2016,Botulism
Satun,0,Total,Cases,2016,Botulism
Songkhla,0,Total,Cases,2016,Botulism
Trang,0,Total,Cases,2016,Botulism
Yala,0,Total,Cases,2016,Botulism
ZONE:13,0,Total,Cases,2016,Botulism
Bangkok,0,Total,Cases,2016,Botulism
Total,0,Total,Deaths,2016,Botulism
ZONE:01,0,Total,Deaths,2016,Botulism
Chiang Mai,0,Total,Deaths,2016,Botulism
Chiang Rai,0,Total,Deaths,2016,Botulism
Lampang,0,Total,Deaths,2016,Botulism
Lamphun,0,Total,Deaths,2016,Botulism
Mae Hong Son,0,Total,Deaths,2016,Botulism
Nan,0,Total,Deaths,2016,Botulism
Phayao,0,Total,Deaths,2016,Botulism
Phrae,0,Total,Deaths,2016,Botulism
ZONE:02,0,Total,Deaths,2016,Botulism
Phetchabun,0,Total,Deaths,2016,Botulism
Phitsanulok,0,Total,Deaths,2016,Botulism
Sukhothai,0,Total,Deaths,2016,Botulism
Tak,0,Total,Deaths,2016,Botulism
Uttaradit,0,Total,Deaths,2016,Botulism
ZONE:03,0,Total,Deaths,2016,Botulism
Chai Nat,0,Total,Deaths,2016,Botulism
Kamphaeng Phet,0,Total,Deaths,2016,Botulism
Nakhon Sawan,0,Total,Deaths,2016,Botulism
Phichit,0,Total,Deaths,2016,Botulism
Uthai Thani,0,Total,Deaths,2016,Botulism
ZONE:04,0,Total,Deaths,2016,Botulism
Ang Thong,0,Total,Deaths,2016,Botulism
Lop Buri,0,Total,Deaths,2016,Botulism
Nakhon Nayok,0,Total,Deaths,2016,Botulism
Nonthaburi,0,Total,Deaths,2016,Botulism
P.Nakhon S.Ayutthaya,0,Total,Deaths,2016,Botulism
Pathum Thani,0,Total,Deaths,2016,Botulism
Saraburi,0,Total,Deaths,2016,Botulism
Sing Buri,0,Total,Deaths,2016,Botulism
ZONE:05,0,Total,Deaths,2016,Botulism
Kanchanaburi,0,Total,Deaths,2016,Botulism
Nakhon Pathom,0,Total,Deaths,2016,Botulism
Phetchaburi,0,Total,Deaths,2016,Botulism
Prachuap Khiri Khan,0,Total,Deaths,2016,Botulism
Ratchaburi,0,Total,Deaths,2016,Botulism
