Areas,Age,Cases,Year,Disease
Zone:10,0,0,2011,Mushroom poisoning
Bungkan,0,0,2011,Mushroom poisoning
Loei,0,0,2011,Mushroom poisoning
Nong Bua Lam Phu,0,0,2011,Mushroom poisoning
Nong Khai,0,0,2011,Mushroom poisoning
Udon Thani,0,0,2011,Mushroom poisoning
Zone:11,0,0,2011,Mushroom poisoning
Mukdahan,0,0,2011,Mushroom poisoning
Nakhon Phanom,0,0,2011,Mushroom poisoning
Sakon Nakhon,0,0,2011,Mushroom poisoning
Zone:12,0,0,2011,Mushroom poisoning
Kalasin,0,0,2011,Mushroom poisoning
Khon Kaen,0,0,2011,Mushroom poisoning
Maha Sarakham,0,0,2011,Mushroom poisoning
Roi Et,0,0,2011,Mushroom poisoning
Zone:13,0,0,2011,Mushroom poisoning
Amnat Charoen,0,0,2011,Mushroom poisoning
Si Sa Ket,0,0,2011,Mushroom poisoning
Ubon Ratchathani,0,0,2011,Mushroom poisoning
Yasothon,0,0,2011,Mushroom poisoning
Zone:14,0,0,2011,Mushroom poisoning
Buri Ram,0,0,2011,Mushroom poisoning
Chaiyaphum,0,0,2011,Mushroom poisoning
Nakhon Ratchasima,0,0,2011,Mushroom poisoning
Surin,0,0,2011,Mushroom poisoning
North Region,0,0,2011,Mushroom poisoning
Zone:15,0,0,2011,Mushroom poisoning
Chiang Mai,0,0,2011,Mushroom poisoning
Lampang,0,0,2011,Mushroom poisoning
Lamphun,0,0,2011,Mushroom poisoning
Mae Hong Son,0,0,2011,Mushroom poisoning
Zone:16,0,0,2011,Mushroom poisoning
Chiang Rai,0,0,2011,Mushroom poisoning
Nan,0,0,2011,Mushroom poisoning
Phayao,0,0,2011,Mushroom poisoning
Phrae,0,0,2011,Mushroom poisoning
Zone:17,0,0,2011,Mushroom poisoning
Phetchabun,0,0,2011,Mushroom poisoning
Phitsanulok,0,0,2011,Mushroom poisoning
Sukhothai,0,0,2011,Mushroom poisoning
Tak,0,0,2011,Mushroom poisoning
Uttaradit,0,0,2011,Mushroom poisoning
Zone:18,0,0,2011,Mushroom poisoning
Kamphaeng Phet,0,0,2011,Mushroom poisoning
Nakhon Sawan,0,0,2011,Mushroom poisoning
Phichit,0,0,2011,Mushroom poisoning
Uthai Thani,0,0,2011,Mushroom poisoning
Total,<1,2,2011,Mushroom poisoning
Central Region,<1,0,2011,Mushroom poisoning
Zone:0,<1,0,2011,Mushroom poisoning
Bangkok,<1,0,2011,Mushroom poisoning
Zone:1,<1,0,2011,Mushroom poisoning
Nonthaburi,<1,0,2011,Mushroom poisoning
P.Nakhon S.Ayutthaya,<1,0,2011,Mushroom poisoning
Pathum Thani,<1,0,2011,Mushroom poisoning
Saraburi,<1,0,2011,Mushroom poisoning
Zone:2,<1,0,2011,Mushroom poisoning
Ang Thong,<1,0,2011,Mushroom poisoning
Chai Nat,<1,0,2011,Mushroom poisoning
Lop Buri,<1,0,2011,Mushroom poisoning
Sing Buri,<1,0,2011,Mushroom poisoning
Zone:3,<1,0,2011,Mushroom poisoning
Chachoengsao,<1,0,2011,Mushroom poisoning
Nakhon Nayok,<1,0,2011,Mushroom poisoning
