Areas,Count,Month,Type,Year,Disease
Yasothon,0,,Deaths,2013,Brucellosis
Zone:14,0,,Deaths,2013,Brucellosis
Buri Ram,0,,Deaths,2013,Brucellosis
Chaiyaphum,0,,Deaths,2013,Brucellosis
Nakhon Ratchasima,0,,Deaths,2013,Brucellosis
Surin,0,,Deaths,2013,Brucellosis
North Region,0,,Deaths,2013,Brucellosis
Zone:15,0,,Deaths,2013,Brucellosis
Chiang Mai,0,,Deaths,2013,Brucellosis
Lampang,0,,Deaths,2013,Brucellosis
Lamphun,0,,Deaths,2013,Brucellosis
Mae Hong Son,0,,Deaths,2013,Brucellosis
Zone:16,0,,Deaths,2013,Brucellosis
Chiang Rai,0,,Deaths,2013,Brucellosis
Nan,0,,Deaths,2013,Brucellosis
Phayao,0,,Deaths,2013,Brucellosis
Phrae,0,,Deaths,2013,Brucellosis
Zone:17,0,,Deaths,2013,Brucellosis
Phetchabun,0,,Deaths,2013,Brucellosis
Phitsanulok,0,,Deaths,2013,Brucellosis
Sukhothai,0,,Deaths,2013,Brucellosis
Tak,0,,Deaths,2013,Brucellosis
Uttaradit,0,,Deaths,2013,Brucellosis
Zone:18,0,,Deaths,2013,Brucellosis
Kamphaeng Phet,0,,Deaths,2013,Brucellosis
Nakhon Sawan,0,,Deaths,2013,Brucellosis
Phichit,0,,Deaths,2013,Brucellosis
Uthai Thani,0,,Deaths,2013,Brucellosis
Total,0,Jan,Cases,2013,Brucellosis
Central Region,0,Jan,Cases,2013,Brucellosis
Zone:0,0,Jan,Cases,2013,Brucellosis
Bangkok,0,Jan,Cases,2013,Brucellosis
Zone:1,0,Jan,Cases,2013,Brucellosis
Nonthaburi,0,Jan,Cases,2013,Brucellosis
P.Nakhon S.Ayutthaya,0,Jan,Cases,2013,Brucellosis
Pathum Thani,0,Jan,Cases,2013,Brucellosis
Saraburi,0,Jan,Cases,2013,Brucellosis
Zone:2,0,Jan,Cases,2013,Brucellosis
Ang Thong,0,Jan,Cases,2013,Brucellosis
Chai Nat,0,Jan,Cases,2013,Brucellosis
Lop Buri,0,Jan,Cases,2013,Brucellosis
Sing Buri,0,Jan,Cases,2013,Brucellosis
Zone:3,0,Jan,Cases,2013,Brucellosis
Chachoengsao,0,Jan,Cases,2013,Brucellosis
Nakhon Nayok,0,Jan,Cases,2013,Brucellosis
Prachin Buri,0,Jan,Cases,2013,Brucellosis
Sa Kaeo,0,Jan,Cases,2013,Brucellosis
Samut Prakan,0,Jan,Cases,2013,Brucellosis
Zone:4,0,Jan,Cases,2013,Brucellosis
Kanchanaburi,0,Jan,Cases,2013,Brucellosis
