Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
ZONE:03,0,0.00,0,0.00,0.00,2922114,2022,Meningo
Chai Nat,0,0.00,0,0.00,0.00,320432,2022,Meningo
Kamphaeng Phet,0,0.00,0,0.00,0.00,712143,2022,Meningo
Nakhon Sawan,0,0.00,0,0.00,0.00,1035028,2022,Meningo
Phichit,0,0.00,0,0.00,0.00,529395,2022,Meningo
Uthai Thani,0,0.00,0,0.00,0.00,325116,2022,Meningo
ZONE:04,0,0.00,0,0.00,0.00,5422367,2022,Meningo
Ang Thong,0,0.00,0,0.00,0.00,274763,2022,Meningo
Lop Buri,0,0.00,0,0.00,0.00,739473,2022,Meningo
Nakhon Nayok,0,0.00,0,0.00,0.00,260433,2022,Meningo
Nonthaburi,0,0.00,0,0.00,0.00,1288637,2022,Meningo
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,820512,2022,Meningo
Pathum Thani,0,0.00,0,0.00,0.00,1190060,2022,Meningo
Saraburi,0,0.00,0,0.00,0.00,643963,2022,Meningo
Sing Buri,0,0.00,0,0.00,0.00,204526,2022,Meningo
ZONE:05,1,0.02,0,0.00,0.00,5333543,2022,Meningo
Kanchanaburi,1,0.11,0,0.00,0.00,894054,2022,Meningo
Nakhon Pathom,0,0.00,0,0.00,0.00,922171,2022,Meningo
Phetchaburi,0,0.00,0,0.00,0.00,482875,2022,Meningo
Prachuap Khiri Khan,0,0.00,0,0.00,0.00,553171,2022,Meningo
Ratchaburi,0,0.00,0,0.00,0.00,868281,2022,Meningo
Samut Sakhon,0,0.00,0,0.00,0.00,586789,2022,Meningo
Samut Songkhram,0,0.00,0,0.00,0.00,190842,2022,Meningo
Suphan Buri,0,0.00,0,0.00,0.00,835360,2022,Meningo
ZONE:06,0,0.00,0,0.00,0.00,6237892,2022,Meningo
Chachoengsao,0,0.00,0,0.00,0.00,724178,2022,Meningo
Chanthaburi,0,0.00,0,0.00,0.00,536557,2022,Meningo
Chon Buri,0,0.00,0,0.00,0.00,1583672,2022,Meningo
Prachin Buri,0,0.00,0,0.00,0.00,495325,2022,Meningo
Rayong,0,0.00,0,0.00,0.00,751343,2022,Meningo
Sa Kaeo,0,0.00,0,0.00,0.00,561992,2022,Meningo
Samut Prakan,0,0.00,0,0.00,0.00,1356449,2022,Meningo
Trat,0,0.00,0,0.00,0.00,228376,2022,Meningo
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",14/6/2566,,,,,,2022,Meningo
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand",2565(2022),Meningococcal Meningitis,19,,,,2022,Meningo
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2022,Meningo
/100000  Pop.,/100000  pop.,ประชากร,,,,,2022,Meningo
ZONE:07,0,0.00,0,0.00,0.00,5010756,2022,Meningo
Kalasin,0,0.00,0,0.00,0.00,975570,2022,Meningo
Khon Kaen,0,0.00,0,0.00,0.00,1790863,2022,Meningo
Maha Sarakham,0,0.00,0,0.00,0.00,948310,2022,Meningo
Roi Et,0,0.00,0,0.00,0.00,1296013,2022,Meningo
ZONE:08,0,0.00,0,0.00,0.00,5516407,2022,Meningo
Bungkan,0,0.00,0,0.00,0.00,421995,2022,Meningo
Loei,0,0.00,0,0.00,0.00,638732,2022,Meningo
Nakhon Phanom,0,0.00,0,0.00,0.00,717040,2022,Meningo
Nong Bua Lam Phu,0,0.00,0,0.00,0.00,509001,2022,Meningo
Nong Khai,0,0.00,0,0.00,0.00,516843,2022,Meningo
Sakon Nakhon,0,0.00,0,0.00,0.00,1146286,2022,Meningo
Udon Thani,0,0.00,0,0.00,0.00,1566510,2022,Meningo
ZONE:09,0,0.00,0,0.00,0.00,6712454,2022,Meningo
Buri Ram,0,0.00,0,0.00,0.00,1579805,2022,Meningo
Chaiyaphum,0,0.00,0,0.00,0.00,1122265,2022,Meningo
Nakhon Ratchasima,0,0.00,0,0.00,0.00,2634154,2022,Meningo
Surin,0,0.00,0,0.00,0.00,1376230,2022,Meningo
ZONE:10,0,0.00,0,0.00,0.00,4587303,2022,Meningo
Amnat Charoen,0,0.00,0,0.00,0.00,376350,2022,Meningo
Mukdahan,0,0.00,0,0.00,0.00,351484,2022,Meningo
Si Sa Ket,0,0.00,0,0.00,0.00,1457556,2022,Meningo
Ubon Ratchathani,0,0.00,0,0.00,0.00,1868519,2022,Meningo
Yasothon,0,0.00,0,0.00,0.00,533394,2022,Meningo
ZONE:11,15,0.33,3,20.00,0.07,4492012,2022,Meningo
Chumphon,0,0.00,0,0.00,0.00,509479,2022,Meningo
Krabi,13,2.71,1,7.69,0.21,479351,2022,Meningo
Nakhon Si Thammarat,0,0.00,0,0.00,0.00,1549344,2022,Meningo
Phangnga,0,0.00,0,0.00,0.00,268016,2022,Meningo
Phuket,0,0.00,0,0.00,0.00,418785,2022,Meningo
Ranong,1,0.51,1,100.00,0.51,194573,2022,Meningo
Surat Thani,1,0.09,1,100.00,0.09,1072464,2022,Meningo
ZONE:12,3,0.06,0,0.00,0.00,5000255,2022,Meningo
Narathiwat,1,0.12,0,0.00,0.00,809660,2022,Meningo
Pattani,0,0.00,0,0.00,0.00,729581,2022,Meningo
Phatthalung,1,0.19,0,0.00,0.00,522541,2022,Meningo
Satun,1,0.31,0,0.00,0.00,324835,2022,Meningo
Songkhla,0,0.00,0,0.00,0.00,1431536,2022,Meningo
Trang,0,0.00,0,0.00,0.00,639788,2022,Meningo
Yala,0,0.00,0,0.00,0.00,542314,2022,Meningo
ZONE:13,0,0.00,0,0.00,0.00,5527994,2022,Meningo
Bangkok,0,0.00,0,0.00,0.00,5527994,2022,Meningo
Total,22,0.03,1,4.55,0.00,66301242,2018,Meningo
ZONE:01,1,0.02,0,0.00,0.00,5878537,2018,Meningo
Chiang Mai,0,0.00,0,0.00,0.00,1755291,2018,Meningo
Chiang Rai,0,0.00,0,0.00,0.00,1289873,2018,Meningo
Lampang,0,0.00,0,0.00,0.00,744714,2018,Meningo
Lamphun,0,0.00,0,0.00,0.00,405936,2018,Meningo
Mae Hong Son,1,0.36,0,0.00,0.00,280826,2018,Meningo
Nan,0,0.00,0,0.00,0.00,479414,2018,Meningo
Phayao,0,0.00,0,0.00,0.00,476157,2018,Meningo
Phrae,0,0.00,0,0.00,0.00,446326,2018,Meningo
ZONE:02,0,0.00,0,0.00,0.00,3565071,2018,Meningo
Phetchabun,0,0.00,0,0.00,0.00,994936,2018,Meningo
Phitsanulok,0,0.00,0,0.00,0.00,866129,2018,Meningo
Sukhothai,0,0.00,0,0.00,0.00,598287,2018,Meningo
Tak,0,0.00,0,0.00,0.00,649472,2018,Meningo
Uttaradit,0,0.00,0,0.00,0.00,456247,2018,Meningo
ZONE:03,0,0.00,0,0.00,0.00,2992420,2018,Meningo
Chai Nat,0,0.00,0,0.00,0.00,328993,2018,Meningo
Kamphaeng Phet,0,0.00,0,0.00,0.00,728470,2018,Meningo
Nakhon Sawan,0,0.00,0,0.00,0.00,1064649,2018,Meningo
Phichit,0,0.00,0,0.00,0.00,540620,2018,Meningo
Uthai Thani,0,0.00,0,0.00,0.00,329688,2018,Meningo
ZONE:04,0,0.00,0,0.00,0.00,5343264,2018,Meningo
Ang Thong,0,0.00,0,0.00,0.00,281014,2018,Meningo
Lop Buri,0,0.00,0,0.00,0.00,758003,2018,Meningo
Nakhon Nayok,0,0.00,0,0.00,0.00,259718,2018,Meningo
Nonthaburi,0,0.00,0,0.00,0.00,1238015,2018,Meningo
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,815647,2018,Meningo
Pathum Thani,0,0.00,0,0.00,0.00,1137603,2018,Meningo
Saraburi,0,0.00,0,0.00,0.00,643531,2018,Meningo
Sing Buri,0,0.00,0,0.00,0.00,209733,2018,Meningo
ZONE:05,1,0.02,0,0.00,0.00,5324608,2018,Meningo
Kanchanaburi,0,0.00,0,0.00,0.00,890565,2018,Meningo
Nakhon Pathom,1,0.11,0,0.00,0.00,914273,2018,Meningo
Phetchaburi,0,0.00,0,0.00,0.00,483335,2018,Meningo
Prachuap Khiri Khan,0,0.00,0,0.00,0.00,546396,2018,Meningo
Ratchaburi,0,0.00,0,0.00,0.00,872615,2018,Meningo
Samut Sakhon,0,0.00,0,0.00,0.00,573215,2018,Meningo
Samut Songkhram,0,0.00,0,0.00,0.00,193847,2018,Meningo
Suphan Buri,0,0.00,0,0.00,0.00,850362,2018,Meningo
ZONE:06,1,0.02,0,0.00,0.00,6088563,2018,Meningo
Chachoengsao,0,0.00,0,0.00,0.00,712449,2018,Meningo
Chanthaburi,0,0.00,0,0.00,0.00,535478,2018,Meningo
Chon Buri,0,0.00,0,0.00,0.00,1522285,2018,Meningo
Prachin Buri,1,0.20,0,0.00,0.00,489592,2018,Meningo
Rayong,0,0.00,0,0.00,0.00,717276,2018,Meningo
Sa Kaeo,0,0.00,0,0.00,0.00,563014,2018,Meningo
Samut Prakan,0,0.00,0,0.00,0.00,1318687,2018,Meningo
