Areas,Age,Cases,Year,Disease
Trang,0,0,2007,HepatitisB
Zone: 17,0,0,2007,HepatitisB
Krabi,0,0,2007,HepatitisB
Phangnga,0,0,2007,HepatitisB
Phuket,0,0,2007,HepatitisB
Zone: 18,0,0,2007,HepatitisB
Narathiwat,0,0,2007,HepatitisB
Pattani,0,0,2007,HepatitisB
Yala,0,0,2007,HepatitisB
Zone: 19,0,0,2007,HepatitisB
Satun,0,0,2007,HepatitisB
Songkhla,0,0,2007,HepatitisB
Total,<1,0,2007,HepatitisB
North Region,<1,0,2007,HepatitisB
Zone: 1,<1,0,2007,HepatitisB
Chiang Mai,<1,0,2007,HepatitisB
Chiang Rai,<1,0,2007,HepatitisB
Lampang,<1,0,2007,HepatitisB
Lamphun,<1,0,2007,HepatitisB
Mae Hong Son,<1,0,2007,HepatitisB
Nan,<1,0,2007,HepatitisB
Phayao,<1,0,2007,HepatitisB
Phrae,<1,0,2007,HepatitisB
Zone: 2,<1,0,2007,HepatitisB
Phetchabun,<1,0,2007,HepatitisB
Phitsanulok,<1,0,2007,HepatitisB
Sukhothai,<1,0,2007,HepatitisB
Tak,<1,0,2007,HepatitisB
Uttaradit,<1,0,2007,HepatitisB
Zone: 3,<1,0,2007,HepatitisB
Kamphaeng Phet,<1,0,2007,HepatitisB
Nakhon Sawan,<1,0,2007,HepatitisB
Phichit,<1,0,2007,HepatitisB
Uthai Thani,<1,0,2007,HepatitisB
Central Region,<1,0,2007,HepatitisB
Bangkok,<1,0,2007,HepatitisB
Zone: 4,<1,0,2007,HepatitisB
Ang Thong,<1,0,2007,HepatitisB
Nonthaburi,<1,0,2007,HepatitisB
P.Nakhon S.Ayutthaya,<1,0,2007,HepatitisB
Pathum Thani,<1,0,2007,HepatitisB
Zone: 5,<1,0,2007,HepatitisB
Chai Nat,<1,0,2007,HepatitisB
Lop Buri,<1,0,2007,HepatitisB
Saraburi,<1,0,2007,HepatitisB
Sing Buri,<1,0,2007,HepatitisB
Zone: 6,<1,0,2007,HepatitisB
Kanchanaburi,<1,0,2007,HepatitisB
Nakhon Pathom,<1,0,2007,HepatitisB
Ratchaburi,<1,0,2007,HepatitisB
Suphan Buri,<1,0,2007,HepatitisB
Zone: 7,<1,0,2007,HepatitisB
Phetchaburi,<1,0,2007,HepatitisB
Prachuap Khiri Khan,<1,0,2007,HepatitisB
Samut Sakhon,<1,0,2007,HepatitisB
Samut Songkhram,<1,0,2007,HepatitisB
Zone: 8,<1,0,2007,HepatitisB
Chachoengsao,<1,0,2007,HepatitisB
Nakhon Nayok,<1,0,2007,HepatitisB
Prachin Buri,<1,0,2007,HepatitisB
Sa Kaeo,<1,0,2007,HepatitisB
Samut Prakan,<1,0,2007,HepatitisB
Zone: 9,<1,0,2007,HepatitisB
Chanthaburi,<1,0,2007,HepatitisB
Chon Buri,<1,0,2007,HepatitisB
Rayong,<1,0,2007,HepatitisB
Trat,<1,0,2007,HepatitisB
North-Eastern Region,<1,0,2007,HepatitisB
Zone: 10,<1,0,2007,HepatitisB
Loei,<1,0,2007,HepatitisB
Nong Bua Lam Phu,<1,0,2007,HepatitisB
Nong Khai,<1,0,2007,HepatitisB
Udon Thani,<1,0,2007,HepatitisB
