Areas,Age,Cases,Year,Disease
Uttaradit,3-3,0,2018,Cholera
ZONE:03,3-3,0,2018,Cholera
Chai Nat,3-3,0,2018,Cholera
Kamphaeng Phet,3-3,0,2018,Cholera
Nakhon Sawan,3-3,0,2018,Cholera
Phichit,3-3,0,2018,Cholera
Uthai Thani,3-3,0,2018,Cholera
ZONE:04,3-3,0,2018,Cholera
Ang Thong,3-3,0,2018,Cholera
Lop Buri,3-3,0,2018,Cholera
Nakhon Nayok,3-3,0,2018,Cholera
Nonthaburi,3-3,0,2018,Cholera
P.Nakhon S.Ayutthaya,3-3,0,2018,Cholera
Pathum Thani,3-3,0,2018,Cholera
Saraburi,3-3,0,2018,Cholera
Sing Buri,3-3,0,2018,Cholera
ZONE:05,3-3,0,2018,Cholera
Kanchanaburi,3-3,0,2018,Cholera
Nakhon Pathom,3-3,0,2018,Cholera
Phetchaburi,3-3,0,2018,Cholera
Prachuap Khiri Khan,3-3,0,2018,Cholera
Ratchaburi,3-3,0,2018,Cholera
Samut Sakhon,3-3,0,2018,Cholera
Samut Songkhram,3-3,0,2018,Cholera
Suphan Buri,3-3,0,2018,Cholera
ZONE:06,3-3,0,2018,Cholera
Chachoengsao,3-3,0,2018,Cholera
Chanthaburi,3-3,0,2018,Cholera
Chon Buri,3-3,0,2018,Cholera
Prachin Buri,3-3,0,2018,Cholera
Rayong,3-3,0,2018,Cholera
Sa Kaeo,3-3,0,2018,Cholera
Samut Prakan,3-3,0,2018,Cholera
Trat,3-3,0,2018,Cholera
ZONE:07,3-3,0,2018,Cholera
Kalasin,3-3,0,2018,Cholera
Khon Kaen,3-3,0,2018,Cholera
Maha Sarakham,3-3,0,2018,Cholera
Roi Et,3-3,0,2018,Cholera
ZONE:08,3-3,0,2018,Cholera
Bungkan,3-3,0,2018,Cholera
Loei,3-3,0,2018,Cholera
Nakhon Phanom,3-3,0,2018,Cholera
Nong Bua Lam Phu,3-3,0,2018,Cholera
Nong Khai,3-3,0,2018,Cholera
Sakon Nakhon,3-3,0,2018,Cholera
Udon Thani,3-3,0,2018,Cholera
ZONE:09,3-3,0,2018,Cholera
Buri Ram,3-3,0,2018,Cholera
Chaiyaphum,3-3,0,2018,Cholera
Nakhon Ratchasima,3-3,0,2018,Cholera
Surin,3-3,0,2018,Cholera
ZONE:10,3-3,0,2018,Cholera
Amnat Charoen,3-3,0,2018,Cholera
Mukdahan,3-3,0,2018,Cholera
Si Sa Ket,3-3,0,2018,Cholera
Ubon Ratchathani,3-3,0,2018,Cholera
Yasothon,3-3,0,2018,Cholera
ZONE:11,3-3,0,2018,Cholera
Chumphon,3-3,0,2018,Cholera
Krabi,3-3,0,2018,Cholera
Nakhon Si Thammarat,3-3,0,2018,Cholera
Phangnga,3-3,0,2018,Cholera
Phuket,3-3,0,2018,Cholera
Ranong,3-3,0,2018,Cholera
Surat Thani,3-3,0,2018,Cholera
ZONE:12,3-3,0,2018,Cholera
Narathiwat,3-3,0,2018,Cholera
Pattani,3-3,0,2018,Cholera
Phatthalung,3-3,0,2018,Cholera
Satun,3-3,0,2018,Cholera
Songkhla,3-3,0,2018,Cholera
Trang,3-3,0,2018,Cholera
Yala,3-3,0,2018,Cholera
ZONE:13,3-3,0,2018,Cholera
Bangkok,3-3,0,2018,Cholera
Total,4-4,0,2018,Cholera
ZONE:01,4-4,0,2018,Cholera
Chiang Mai,4-4,0,2018,Cholera
Chiang Rai,4-4,0,2018,Cholera
Lampang,4-4,0,2018,Cholera
Lamphun,4-4,0,2018,Cholera
Mae Hong Son,4-4,0,2018,Cholera
Nan,4-4,0,2018,Cholera
Phayao,4-4,0,2018,Cholera
Phrae,4-4,0,2018,Cholera
ZONE:02,4-4,0,2018,Cholera
Phetchabun,4-4,0,2018,Cholera
Phitsanulok,4-4,0,2018,Cholera
Sukhothai,4-4,0,2018,Cholera
Tak,4-4,0,2018,Cholera
Uttaradit,4-4,0,2018,Cholera
ZONE:03,4-4,0,2018,Cholera
Chai Nat,4-4,0,2018,Cholera
Kamphaeng Phet,4-4,0,2018,Cholera
Nakhon Sawan,4-4,0,2018,Cholera
Phichit,4-4,0,2018,Cholera
Uthai Thani,4-4,0,2018,Cholera
ZONE:04,4-4,0,2018,Cholera
Ang Thong,4-4,0,2018,Cholera
Lop Buri,4-4,0,2018,Cholera
Nakhon Nayok,4-4,0,2018,Cholera
Nonthaburi,4-4,0,2018,Cholera
