Areas,Count,Month,Type,Year,Disease
Zone:3,0,Total,Deaths,2010,Foodpoi
Chachoengsao,0,Total,Deaths,2010,Foodpoi
Nakhon Nayok,0,Total,Deaths,2010,Foodpoi
Prachin Buri,0,Total,Deaths,2010,Foodpoi
Sa Kaeo,0,Total,Deaths,2010,Foodpoi
Samut Prakan,0,Total,Deaths,2010,Foodpoi
Zone:4,0,Total,Deaths,2010,Foodpoi
Kanchanaburi,0,Total,Deaths,2010,Foodpoi
Nakhon Pathom,0,Total,Deaths,2010,Foodpoi
Ratchaburi,0,Total,Deaths,2010,Foodpoi
Suphan Buri,0,Total,Deaths,2010,Foodpoi
Zone:5,0,Total,Deaths,2010,Foodpoi
Phetchaburi,0,Total,Deaths,2010,Foodpoi
Prachuap Khiri Khan,0,Total,Deaths,2010,Foodpoi
Samut Sakhon,0,Total,Deaths,2010,Foodpoi
Samut Songkhram,0,Total,Deaths,2010,Foodpoi
Zone:9,0,Total,Deaths,2010,Foodpoi
Chanthaburi,0,Total,Deaths,2010,Foodpoi
Chon Buri,0,Total,Deaths,2010,Foodpoi
Rayong,0,Total,Deaths,2010,Foodpoi
Trat,0,Total,Deaths,2010,Foodpoi
South Region,0,Total,Deaths,2010,Foodpoi
Zone:6,0,Total,Deaths,2010,Foodpoi
Chumphon,0,Total,Deaths,2010,Foodpoi
Nakhon Si Thammarat,0,Total,Deaths,2010,Foodpoi
Phatthalung,0,Total,Deaths,2010,Foodpoi
Surat Thani,0,Total,Deaths,2010,Foodpoi
Zone:7,0,Total,Deaths,2010,Foodpoi
Krabi,0,Total,Deaths,2010,Foodpoi
Phangnga,0,Total,Deaths,2010,Foodpoi
Phuket,0,Total,Deaths,2010,Foodpoi
Ranong,0,Total,Deaths,2010,Foodpoi
Trang,0,Total,Deaths,2010,Foodpoi
Zone:8,0,Total,Deaths,2010,Foodpoi
Narathiwat,0,Total,Deaths,2010,Foodpoi
Pattani,0,Total,Deaths,2010,Foodpoi
Satun,0,Total,Deaths,2010,Foodpoi
Songkhla,0,Total,Deaths,2010,Foodpoi
Yala,0,Total,Deaths,2010,Foodpoi
North-Eastern Region,1,Total,Deaths,2010,Foodpoi
Zone:10,0,Total,Deaths,2010,Foodpoi
Loei,0,Total,Deaths,2010,Foodpoi
Nong Bua Lam Phu,0,Total,Deaths,2010,Foodpoi
Nong Khai,0,Total,Deaths,2010,Foodpoi
Udon Thani,0,Total,Deaths,2010,Foodpoi
Zone:11,0,Total,Deaths,2010,Foodpoi
Mukdahan,0,Total,Deaths,2010,Foodpoi
Nakhon Phanom,0,Total,Deaths,2010,Foodpoi
Sakon Nakhon,0,Total,Deaths,2010,Foodpoi
