"date","mean","lower_80","lower_95","upper_80","upper_95","Shortname","value","diff","color"
2021-08-01,381.406665637724,319.903544109543,291.468499160163,454.734082417898,499.096969353624,"CA",176,205.406665637724,"Decrease"
2021-09-01,352.677546829219,295.806180191669,269.512620509792,420.482939054493,461.505111716862,"CA",161,191.677546829219,"Decrease"
2021-10-01,368.912316427152,309.415084442659,281.908043484312,439.850233729858,482.768407490369,"CA",212,156.912316427152,"Decrease"
2021-11-01,296.104440528798,248.335634962593,226.251889608882,353.061854027029,387.523126778919,"CA",187,109.104440528798,"Decrease"
2021-12-01,271.466371632825,227.662514294595,207.412456858831,323.698396970749,355.301663379111,"CA",161,110.466371632825,"Decrease"
2022-01-01,493.553705546178,413.741446133804,376.856998506297,588.762045800905,646.386457525992,"CA",289,204.553705546178,"Decrease"
2022-02-01,394.303271711715,330.328461051072,300.777855330046,470.668102856946,516.909963042187,"CA",205,189.303271711715,"Decrease"
2022-03-01,361.446439404955,302.706764789869,275.580977091636,431.584436671605,474.065844229438,"CA",216,145.446439404955,"Decrease"
2022-04-01,375.336000656716,314.265630981413,286.068646320139,448.274006129898,492.459118470896,"CA",168,207.336000656716,"Decrease"
2022-05-01,366.490095133624,306.685601061913,279.085188352602,437.956621915021,481.268786150545,"CA",232,134.490095133624,"Decrease"
2022-06-01,422.539763919956,353.374281869276,321.46870324418,505.242914535527,555.387974915609,"CA",230,192.539763919956,"Decrease"
2022-07-01,353.566284399013,295.491358326492,268.715810566581,423.055070617665,465.209386824486,"CA",247,106.566284399013,"Decrease"
2022-08-01,389.551903258369,325.211896921997,295.572857842911,466.620953195372,513.412112464227,"CA",319,70.5519032583687,"Decrease"
2022-09-01,360.209251650336,300.432502734359,272.915692649658,431.879719383159,475.424127190281,"CA",340,20.2092516503358,"Decrease"
2022-10-01,376.790727449302,313.825683314659,284.872453523532,452.3888892466,498.36778016182,"CA",307,69.7907274493018,"Decrease"
2022-11-01,302.427982422337,251.497017869058,228.105740081855,363.673038062286,400.966168230684,"CA",326,-23.5720175776627,"Increase"
2022-12-01,277.26374829709,230.230156885653,208.653590636791,333.90580608401,368.434522910131,"CA",214,63.26374829709,"Decrease"
2023-01-01,504.093930907739,417.465820154934,377.807597924017,608.698194941346,672.59285566068,"CA",418,86.0939309077393,"Decrease"
2023-02-01,402.723926440754,332.469376216412,300.385315986971,487.824059988873,539.928392954112,"CA",377,25.7239264407544,"Decrease"
2023-03-01,369.165410784668,304.050309757806,274.36750094161,448.225494749108,496.717359206532,"CA",424,-54.8345892153325,"Increase"
2023-04-01,383.351594479177,315.072428602238,283.997942534301,466.427499358425,517.463062155735,"CA",355,28.3515944791775,"Decrease"
2023-05-01,374.316777725772,306.764580409106,276.089427216081,456.744549517901,507.491545401867,"CA",418,-43.6832222742276,"Increase"
2023-06-01,431.563431022218,352.648040431141,316.894152403974,528.138465672365,587.726196847718,"CA",423,8.56343102221837,"Decrease"
2023-07-01,361.116968905964,294.193188135063,263.943376359251,443.264733825047,494.066064587797,"CA",403,-41.8830310940361,"Increase"
2023-08-01,397.871088798318,322.927731605195,289.151194639779,490.206903305212,547.46930407384,"CA",451,-53.1289112016816,"Increase"
2023-09-01,367.901801918016,297.582198198774,265.973847448522,454.838147825339,508.891145324806,"CA",461,-93.0981980819835,"Increase"
2023-10-01,384.837388100076,310.000867763631,276.469773224302,477.740002304159,535.68176206928,"CA",440,-55.1626118999239,"Increase"
2023-11-01,308.886568498287,247.747025115744,220.444861779411,385.114259814308,432.810778298474,"CA",482,-173.113431501713,"Increase"
2023-12-01,283.184932473812,226.195849923024,200.828795867979,354.532172042448,399.31378183891,"CA",323,-39.8150675261882,"Increase"
2024-01-01,514.859251024793,408.892142542304,361.934300115915,648.288437918286,732.39825095581,"CA",850,-335.140748975207,"Increase"
2024-02-01,411.324410836836,324.62777364445,286.396212268566,521.174664295897,590.747236529847,"CA",706,-294.675589163164,"Increase"
