disease,file_name,remote_url,remote_size,local_path,local_exists,local_size,tag,download_result
DHF Total,tac_DHF_Total_49.rtf,http://doe1.moph.go.th/surdata/y49/tac_DHF_Total_49.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_49.rtf,yes,81712,skip,
DHF Total,tac_DHF_Total_50.rtf,http://doe1.moph.go.th/surdata/y50/tac_DHF_Total_50.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_50.rtf,yes,82008,skip,
DHF Total,tac_DHF_Total_51.rtf,http://doe1.moph.go.th/surdata/y51/tac_DHF_Total_51.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_51.rtf,yes,81352,skip,
DHF Total,tac_DHF_Total_52.rtf,http://doe1.moph.go.th/surdata/y52/tac_DHF_Total_52.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_52.rtf,yes,81109,skip,
DHF Total,tac_DHF_Total_53.rtf,http://doe1.moph.go.th/surdata/y53/tac_DHF_Total_53.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_53.rtf,yes,82379,skip,
DHF Total,tac_DHF_Total_54.rtf,http://doe1.moph.go.th/surdata/y54/tac_DHF_Total_54.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_54.rtf,yes,82801,skip,
DHF Total,tac_DHF_Total_55.rtf,http://doe1.moph.go.th/surdata/y55/tac_DHF_Total_55.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_55.rtf,yes,82950,skip,
DHF Total,tac_DHF_Total_56.rtf,http://doe1.moph.go.th/surdata/y56/tac_DHF_Total_56.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_56.rtf,yes,83382,skip,
DHF Total,tac_DHF_Total_57.rtf,http://doe1.moph.go.th/surdata/y57/tac_DHF_Total_57.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_57.rtf,yes,74198,skip,
DHF Total,tac_DHF_Total_58.rtf,http://doe1.moph.go.th/surdata/y58/tac_DHF_Total_58.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_58.rtf,yes,74819,skip,
DHF Total,tac_DHF_Total_59.rtf,http://doe1.moph.go.th/surdata/y59/tac_DHF_Total_59.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_59.rtf,yes,74384,skip,
DHF Total,tac_DHF_Total_60.rtf,http://doe1.moph.go.th/surdata/y60/tac_DHF_Total_60.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_60.rtf,yes,74272,skip,
DHF Total,tac_DHF_Total_61.rtf,http://doe1.moph.go.th/surdata/y61/tac_DHF_Total_61.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_61.rtf,yes,74631,skip,
DHF Total,tac_DHF_Total_62.rtf,http://doe1.moph.go.th/surdata/y62/tac_DHF_Total_62.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_62.rtf,yes,74836,skip,
DHF Total,tac_DHF_Total_63.rtf,http://doe1.moph.go.th/surdata/y63/tac_DHF_Total_63.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_63.rtf,yes,74459,skip,
DHF Total,tac_DHF_Total_64.rtf,http://doe1.moph.go.th/surdata/y64/tac_DHF_Total_64.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_64.rtf,yes,73502,skip,
DHF Total,tac_DHF_Total_65.rtf,http://doe1.moph.go.th/surdata/y65/tac_DHF_Total_65.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_65.rtf,yes,74110,skip,
DHF Total,tac_DHF_Total_66.rtf,http://doe1.moph.go.th/surdata/y66/tac_DHF_Total_66.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_66.rtf,yes,74987,skip,
DHF Total,tac_DHF_Total_67.rtf,http://doe1.moph.go.th/surdata/y67/tac_DHF_Total_67.rtf,,Code/Data/GetData/DHF Total/tac_DHF_Total_67.rtf,no,,download,HTTP 404
DHF Total,tad_DHF_Total_46.rtf,http://doe1.moph.go.th/surdata/y46/tad_DHF_Total_46.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_46.rtf,yes,34713,skip,
DHF Total,tad_DHF_Total_47.rtf,http://doe1.moph.go.th/surdata/y47/tad_DHF_Total_47.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_47.rtf,yes,80478,skip,
DHF Total,tad_DHF_Total_48.rtf,http://doe1.moph.go.th/surdata/y48/tad_DHF_Total_48.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_48.rtf,yes,80559,skip,
