ชื่อโรค-value,ชื่อโรค-alias,MIN(Number of Records)-alias,สัปดาห์-value,สัปดาห์-alias,ATTR(week_number)-alias,ATTR(disease (copy))-alias,ATTR(disease_th)-alias,AGG(จำนวนป่วย (แทน null))-alias,AGG(Formatted Percent Change)-alias,AGG(Arrow Type)-alias,AGG(Consecutive Weeks)-alias
ไข้หัดที่มีโรคแทรกซ้อน  ,ไข้หัดที่มีโรคแทรกซ้อน  ,1,30,สัปดาห์ที่ 30,30,Measles with complication ,ไข้หัดที่มีโรคแทรกซ้อน  ,0,0.0%,ไม่เปลี่ยนแปลง,0
ไข้ดำแดง,ไข้ดำแดง,%missing%,30,สัปดาห์ที่ 30,%missing%,%missing%,%missing%,0,%null%,ไม่เปลี่ยนแปลง,0
เรื้อน,เรื้อน,1,30,สัปดาห์ที่ 30,30,Leprosy,เรื้อน,1,0.0%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ อี,ไวรัสตับอักเสบ อี,1,30,สัปดาห์ที่ 30,30,Acute hepatitis E virus,ไวรัสตับอักเสบ อี,0,0.0%,ไม่เปลี่ยนแปลง,0
ไวรัสตับอักเสบ ดี,ไวรัสตับอักเสบ ดี,1,30,สัปดาห์ที่ 30,30,Acute hepatitis D virus,ไวรัสตับอักเสบ ดี,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
คางทูม,คางทูม,1,30,สัปดาห์ที่ 30,30,Mumps,คางทูม,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
กามโรคของต่อมและท่อน้ำเหลือง,กามโรคของต่อมและท่อน้ำเหลือง,1,30,สัปดาห์ที่ 30,30,Lymphogranuloma Venereum/Granuloma Inguinale,กามโรคของต่อมและท่อน้ำเหลือง,0,0.0%,ไม่เปลี่ยนแปลง,0
ไข้พาราไทฟอยด์,ไข้พาราไทฟอยด์,1,30,สัปดาห์ที่ 30,30,Paratyphoid fever,ไข้พาราไทฟอยด์,0,0.0%,ไม่เปลี่ยนแปลง,0
ไข้หัด,ไข้หัด,1,30,สัปดาห์ที่ 30,30,Measles ,ไข้หัด,0,0.0%,ไม่เปลี่ยนแปลง,0
ติดเชื้อไวรัสซิกา,ติดเชื้อไวรัสซิกา,1,30,สัปดาห์ที่ 30,30,Zika virus disease,ติดเชื้อไวรัสซิกา,1,▼ -50.0%,ผู้ป่วยน้อยลง,0
บิดจากเชื้อชิเกลลา,บิดจากเชื้อชิเกลลา,1,30,สัปดาห์ที่ 30,30,"Shigellosis dysentery, Bacillary dysentery",บิดจากเชื้อชิเกลลา,1,0.0%,ไม่เปลี่ยนแปลง,0
มือเท้าปาก ,มือเท้าปาก ,1,30,สัปดาห์ที่ 30,30,Hand foot and mouth disease,มือเท้าปาก ,1,▼ -50.0%,ผู้ป่วยน้อยลง,0
ไวรัสตับอักเสบ เอ,ไวรัสตับอักเสบ เอ,1,30,สัปดาห์ที่ 30,30,Acute hepatitis A Virus,ไวรัสตับอักเสบ เอ,2,▼ -33.3%,ผู้ป่วยน้อยลง,0
ติดเชื้อไวรัสอาร์เอสวี,ติดเชื้อไวรัสอาร์เอสวี,1,30,สัปดาห์ที่ 30,30,Respiratory Syncytial Virus,ติดเชื้อไวรัสอาร์เอสวี,0,0.0%,ไม่เปลี่ยนแปลง,0
พยาธิใบไม้ในตับ,พยาธิใบไม้ในตับ,1,30,สัปดาห์ที่ 30,30,Liver fluke,พยาธิใบไม้ในตับ,0,▼ -100.0%,ผู้ป่วยน้อยลง,0
แผลริมอ่อน,แผลริมอ่อน,1,30,สัปดาห์ที่ 30,30,Chancroid,แผลริมอ่อน,1,▼ -50.0%,ผู้ป่วยน้อยลง,0
ไข้หูดับ,ไข้หูดับ,1,30,สัปดาห์ที่ 30,30,Streptococcus suis infection,ไข้หูดับ,10,▲ 66.7%,ผู้ป่วยเพิ่มขึ้น,3
ไข้สมองอักเสบ,ไข้สมองอักเสบ,1,30,สัปดาห์ที่ 30,30,Encephalitis,ไข้สมองอักเสบ,5,▲ 150.0%,ผู้ป่วยเพิ่มขึ้น,1
ไข้ไทฟอยด์,ไข้ไทฟอยด์,1,30,สัปดาห์ที่ 30,30,Typhoid fever,ไข้ไทฟอยด์,6,▼ -33.3%,ผู้ป่วยน้อยลง,0
บิดจากเชื้ออะมีบา,บิดจากเชื้ออะมีบา,1,30,สัปดาห์ที่ 30,30,"Amoebic Dysentery, Amoebiasis",บิดจากเชื้ออะมีบา,5,▼ -28.6%,ผู้ป่วยน้อยลง,0
ไข้มาลาเรีย,ไข้มาลาเรีย,1,30,สัปดาห์ที่ 30,30,Malaria,ไข้มาลาเรีย,17,▲ 6.3%,ผู้ป่วยเพิ่มขึ้น,1
เยื่อหุ้มสมองอักเสบ,เยื่อหุ้มสมองอักเสบ,1,30,สัปดาห์ที่ 30,30,Unspecified meningitis,เยื่อหุ้มสมองอักเสบ,10,▲ 150.0%,ผู้ป่วยเพิ่มขึ้น,1
หนองในเทียม,หนองในเทียม,1,30,สัปดาห์ที่ 30,30,Non-Gonococcal urethritis (NGU),หนองในเทียม,13,▲ 62.5%,ผู้ป่วยเพิ่มขึ้น,1
หนองใน,หนองใน,1,30,สัปดาห์ที่ 30,30,Gonorrhea,หนองใน,7,▼ -12.5%,ผู้ป่วยน้อยลง,0
หูดอวัยวะเพศและทวารหนัก,หูดอวัยวะเพศและทวารหนัก,1,30,สัปดาห์ที่ 30,30,Condyloma Acuminata /Venereal Warts,หูดอวัยวะเพศและทวารหนัก,6,▼ -14.3%,ผู้ป่วยน้อยลง,0
ไวรัสตับอักเสบ ซี,ไวรัสตับอักเสบ ซี,1,30,สัปดาห์ที่ 30,30,Acute hepatitis C Virus,ไวรัสตับอักเสบ ซี,27,▲ 80.0%,ผู้ป่วยเพิ่มขึ้น,1
