Shortname,Group,FreezeDate,ValidationEnd,WindowLabel,FrozenStatus,FrozenStatusLabel,FrozenPrRP,FrozenPrBP,FrozenFrameworkPriority,FrozenIncidenceOnly,RealizedStatus,RealizedStatusLabel,RealizedFrameworkPriority,LaterReviewNeed,FrameworkNeedsReview,IncidenceOnlyNeedsReview,FrameworkDecisionAcc,IncidenceDecisionAcc,AvertedUnderTriage,FrozenShiftVsPre,FrozenShiftVsPred,RealizedShiftVsPre,RealizedShiftVsPred,FrozenRPMonths,FrozenBPMonths,RealizedRPMonths,RealizedBPMonths,ProbabilityPathsUsed,FreezeDateLabel,PriorityRank
Pneumonia,Respiratory IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,0.973,0.158,Cumulative review needed,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,34,NA,34,60,400,2024-06,3
Influenza,Respiratory IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,1,0,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,1,0,44,NA,44,NA,400,2024-06,3
Chickenpox,Respiratory IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Suppressed,Suppressed,0.26,0,High priority manual review,Needs review by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,-1,-1,NA,NA,66,NA,400,2024-06,1
Mumps,Respiratory IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Suppressed,Suppressed,0,0,High priority manual review,Needs review by incidence only,Recovered,Recovered but not balanced,Recalibrate and monitor,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,0,6,4,NA,NA,68,NA,400,2024-06,1
Scarlet fever,Respiratory IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Suppressed,Suppressed,0.26,0.028,High priority manual review,Needs review by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,3,-1,-1,NA,NA,61,NA,400,2024-06,1
Rubella,Respiratory IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Suppressed,Suppressed,0,0,High priority manual review,Needs review by incidence only,Suppressed,Suppressed,High priority manual review,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,2,3,2,NA,NA,NA,NA,400,2024-06,1
Dengue fever,Vector-borne and zoonotic IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,0.745,0.332,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,0,0,35,NA,35,NA,400,2024-06,3
Malaria,Vector-borne and zoonotic IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,No Deficit,No deficit,0.478,0.478,No deficit monitoring,No deficit monitoring,No Deficit,No deficit,No deficit monitoring,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,NA,NA,NA,NA,400,2024-06,6
Scrub Typhus,Vector-borne and zoonotic IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,1,1,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,28,50,28,50,400,2024-06,5
Leptospirosis,Vector-borne and zoonotic IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,0.86,0.743,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,1,1,11,32,11,32,400,2024-06,5
Melioidosis,Vector-borne and zoonotic IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,1,1,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,-1,-2,-2,28,36,28,36,400,2024-06,5
S. suis,Vector-borne and zoonotic IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,1,1,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-1,-1,0,0,5,7,5,7,400,2024-06,5
HFMD,Gastrointestinal IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,1,0.958,Recovered but recalibrate seasonality,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,1,1,0,9,33,9,33,400,2024-06,4
Amebiasis,Gastrointestinal IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,0.685,0.537,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-1,-1,0,0,29,35,29,35,400,2024-06,5
Shigellosis,Gastrointestinal IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,0.632,0.282,Cumulative review needed,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,1,1,1,31,NA,31,NA,400,2024-06,3
Typhoid,Gastrointestinal IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,1,0.112,Recalibrate and monitor,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-3,-4,0,-1,30,NA,30,54,400,2024-06,2
HAV,Gastrointestinal IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,0.75,0,Recalibrate and monitor,Routine by incidence only,Recovered,Recovered but not balanced,Recalibrate and monitor,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-5,-5,-5,-5,47,NA,47,NA,400,2024-06,2
Gonorrhoea,Sexually IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,1,0.332,Cumulative review needed,Routine by incidence only,Debt Repaid,Balanced,Low priority routine review,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-1,0,0,1,36,NA,36,58,400,2024-06,3
Syphilis,Sexually IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,0.402,0.242,Recovered but recalibrate seasonality,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-3,-2,-2,-3,34,40,34,40,400,2024-06,4
HBV,Sexually IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,1,1,Low priority routine review,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,2,2,38,52,38,52,400,2024-06,5
CA (HPV),Sexually IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,0.907,0.382,Cumulative review needed,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,4,4,40,NA,40,55,400,2024-06,3
Genital herpes,Sexually IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,1,1,Recovered but recalibrate seasonality,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-2,-1,2,3,36,52,36,52,400,2024-06,4
Chancroid,Sexually IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Recovered,Recovered but not balanced,0.993,0.002,Recalibrate and monitor,Routine by incidence only,Recovered,Recovered but not balanced,Cumulative review needed,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-3,-2,0,0,48,NA,48,NA,400,2024-06,2
HCV,Sexually IDs,2024-06-01,2025-12-01,Freeze 2024-06 to 2025-12,Debt Repaid,Balanced,0.955,0.912,Recovered but recalibrate seasonality,Routine by incidence only,Debt Repaid,Balanced,Recovered but recalibrate seasonality,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3,3,4,4,28,35,28,35,400,2024-06,4
