Shortname,Method,Config,SeriesType,Transform,PrimaryStatus,PrimaryPhenotype,RP_Month,BP_Month,Pr_RP,Pr_BP,PrimaryStatusProb,RP_Q025,RP_Q975,BP_Q025,BP_Q975,MethodUsed,FitFailed,SimulationIncluded,BaselineStatus,BaselinePhenotype,Baseline_RP_Month,Baseline_BP_Month,Baseline_Pr_RP,Baseline_Pr_BP,BaselineStatusProb,PhenotypeChanged,StatusChanged,RP_Month_Delta,BP_Month_Delta,Abs_RP_Month_Delta,Abs_BP_Month_Delta,Delta_Pr_RP,Delta_Pr_BP,Delta_StatusProb,MaterialTimingShift
Rubella,ETS,Count log,count,log,Suppressed,Suppressed,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Suppressed,Suppressed,NA,NA,0,0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
S. suis,ETS,Count log,count,log,Debt Repaid,Balanced,5,7,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Debt Repaid,Balanced,5,7,1,1,1,FALSE,FALSE,0,0,0,0,NA,NA,NA,FALSE
Scarlet fever,TBATS,Count log,count,log,Recovered,Recovered but not balanced,61,NA,0.765,0.22,0.545,6,66,40.650000000000006,68,TBATS,FALSE,TRUE,Recovered,Recovered but not balanced,61,NA,0.812,0.3324,0.4796,FALSE,FALSE,0,NA,0,NA,-0.04700000000000004,-0.11239999999999997,0.06540000000000001,FALSE
Scrub Typhus,ETS,Count log,count,log,Debt Repaid,Balanced,28,54,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Debt Repaid,Balanced,28,50,1,1,1,FALSE,FALSE,0,4,0,4,NA,NA,NA,FALSE
Shigellosis,Bayesian structural,Count log,count,log,Recovered,Recovered but not balanced,31,NA,0.635,0.325,0.31,5,61,5.6,67,Bayesian structural,FALSE,TRUE,Recovered,Recovered but not balanced,31,NA,0.7154,0.3514,0.364,FALSE,FALSE,0,NA,0,NA,-0.08040000000000003,-0.02639999999999998,-0.05399999999999999,FALSE
Typhoid,Hybrid,Count log,count,log,Debt Repaid,Balanced,30,55,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,30,54,1,1,1,FALSE,FALSE,0,1,0,1,NA,NA,NA,FALSE
CA (HPV),Bayesian structural,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,43,57,0.84,0.595,0.595,8,53,22.300000000000004,68,Bayesian structural,FALSE,TRUE,Debt Repaid,Balanced,40,55,0.9556,0.773,0.773,FALSE,FALSE,3,2,3,2,-0.11560000000000004,-0.17800000000000005,-0.17800000000000005,FALSE
Chancroid,ARIMA + Fourier,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,48,NA,0.99,0.135,0.855,37,48.14999999999998,59.3,71,ARIMA + Fourier,FALSE,TRUE,Recovered,Recovered but not balanced,48,NA,0.9962,0.2244,0.7718,FALSE,FALSE,0,NA,0,NA,-0.006199999999999983,-0.08939999999999998,0.08319999999999994,FALSE
Dengue fever,TBATS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,35,NA,0.715,0.375,0.34,2.5500000000000007,47,4,54.89999999999995,TBATS,FALSE,TRUE,Recovered,Recovered but not balanced,35,NA,0.7228,0.3394,0.3834,FALSE,FALSE,0,NA,0,NA,-0.007800000000000029,0.03560000000000002,-0.043399999999999994,FALSE
Genital herpes,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,36,53,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,36,52,1,1,1,FALSE,FALSE,0,1,0,1,NA,NA,NA,FALSE
Gonorrhoea,TBATS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,36,59,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE,Debt Repaid,Balanced,36,58,0.999,0.822,0.822,FALSE,FALSE,0,1,0,1,NA,NA,NA,FALSE
HAV,Hybrid,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,47,NA,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Recovered,Recovered but not balanced,47,NA,0.9226,0,0.9226,FALSE,FALSE,0,NA,0,NA,NA,NA,NA,FALSE
HBV,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,41,52,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Debt Repaid,Balanced,38,52,1,1,1,FALSE,FALSE,3,0,3,0,NA,NA,NA,FALSE
Leptospirosis,ARIMA + Fourier,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,10,30,0.775,0.635,0.635,0.8499999999999996,45.150000000000006,1,59.849999999999994,ARIMA + Fourier,FALSE,TRUE,Debt Repaid,Balanced,11,32,0.8576,0.7734,0.7734,FALSE,FALSE,-1,-2,1,2,-0.0826,-0.13839999999999997,-0.13839999999999997,FALSE
Malaria,Hybrid,Rate sqrt,rate,sqrt,No Deficit,No deficit,NA,NA,0.645,0.645,0.355,1,25,1,29,Hybrid,FALSE,TRUE,No Deficit,No deficit,NA,NA,0.4748,0.4748,0.5252,FALSE,FALSE,NA,NA,NA,NA,0.17020000000000002,0.17020000000000002,-0.17020000000000002,FALSE
Mumps,ETS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,68,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Recovered,Recovered but not balanced,68,NA,1,0,1,FALSE,FALSE,0,NA,0,NA,NA,NA,NA,FALSE
Pneumonia,TBATS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,34,60,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE,Debt Repaid,Balanced,34,60,1,0.8354,0.8354,FALSE,FALSE,0,0,0,0,NA,NA,NA,FALSE
Rubella,ETS,Rate sqrt,rate,sqrt,Suppressed,Suppressed,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE,Suppressed,Suppressed,NA,NA,0,0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE
Scarlet fever,TBATS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,61,NA,0.86,0.3,0.56,8,66,61,70,TBATS,FALSE,TRUE,Recovered,Recovered but not balanced,61,NA,0.812,0.3324,0.4796,FALSE,FALSE,0,NA,0,NA,0.04799999999999993,-0.032399999999999984,0.08040000000000003,FALSE
Syphilis,Bayesian structural,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,31,37,0.325,0.21,0.21,27,60,33,57,Bayesian structural,FALSE,TRUE,Debt Repaid,Balanced,34,40,0.4288,0.2996,0.2996,FALSE,FALSE,-3,-3,3,3,-0.1038,-0.08959999999999999,-0.08959999999999999,FALSE
Typhoid,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,30,57,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE,Debt Repaid,Balanced,30,54,1,1,1,FALSE,FALSE,0,3,0,3,NA,NA,NA,FALSE
