Shortname,Group,BestModel,split,split_label,start_date,end_date,PlaceboStatus,PlaceboStatusLabel,TemperedStatus,TemperedStatusLabel,FalseAlert,FalseAlertTempered,FalseSuppressed,Coverage80,Coverage95,MeanIntervalScore80,MeanIntervalScore95,MeanWIS,MeanPIT,PIT_KS_p,MeanWidth95,MonthsEvaluated
Gonorrhoea,Sexually IDs,TBATS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Recovered,Recovered but not balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,0.9722222222222222,1,276.36816553218637,425.6692238151712,101.3235337701385,0.47591666666666665,0.12190900644241787,425.6692238151712,36
HAV,Gastrointestinal IDs,Hybrid,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,1,1,26.387317244391365,88.21508996040102,10.391641791494079,0.5888333333333333,0.0118357186471435,88.21508996040102,12
HAV,Gastrointestinal IDs,Hybrid,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,0.9166666666666666,1,28.024183467125777,80.0243574095003,13.219161682397505,0.652,0.00611143189040797,80.0243574095003,24
HAV,Gastrointestinal IDs,Hybrid,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.7222222222222222,0.8888888888888888,82.41901149233225,229.65397210044478,32.74085608457777,0.6181666666666666,0.032707881096620706,61.271356878496846,36
Typhoid,Gastrointestinal IDs,Hybrid,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,No Deficit,No deficit,TRUE,FALSE,TRUE,0.9166666666666666,1,63.27928044445469,91.03490913246742,21.435528510947293,0.42083333333333334,0.05486954628190377,91.03490913246742,12
Typhoid,Gastrointestinal IDs,Hybrid,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.7916666666666666,1,64.16446138544528,96.11187241741872,26.401799740373164,0.6640416666666666,0.0037523005039383772,96.11187241741872,24
Typhoid,Gastrointestinal IDs,Hybrid,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.3611111111111111,0.8888888888888888,156.8250240063305,168.82127975777811,62.18819575033799,0.09483333333333333,0,118.61003696145143,36
Shigellosis,Gastrointestinal IDs,Bayesian structural,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.75,0.9166666666666666,156.61230291573926,241.4079442976928,57.9116084732828,0.25658333333333333,0.003245632073620719,172.25613727297755,12
Shigellosis,Gastrointestinal IDs,Bayesian structural,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Suppressed,Suppressed,No Deficit,No deficit,TRUE,FALSE,TRUE,0.9583333333333334,1,210.06290148041327,330.33829603152367,72.72764828434516,0.3735,2.2096325156706342e-4,330.33829603152367,24
Shigellosis,Gastrointestinal IDs,Bayesian structural,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.5555555555555556,0.9166666666666666,441.84344503838895,586.8943340898817,198.5513854491239,0.11380555555555556,0,545.0890462894384,36
Amebiasis,Gastrointestinal IDs,TBATS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.75,0.9166666666666666,155.84158607930686,219.65904215184295,67.30466307561679,0.14416666666666667,1.178002846713433e-6,177.1557804378675,12
Amebiasis,Gastrointestinal IDs,TBATS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.7916666666666666,0.9583333333333334,130.5268920518289,179.0464109264879,56.44608908469666,0.2527916666666667,3.813719153500372e-5,168.2818915889027,24
Amebiasis,Gastrointestinal IDs,TBATS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.4722222222222222,0.9444444444444444,249.10023307562128,253.43119491040719,99.37344216078354,0.18405555555555556,1.4720086927155762e-8,220.8233510449401,36
HFMD,Gastrointestinal IDs,Hybrid,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0.16666666666666666,0.5833333333333334,6667.671274151171,10513.816553570035,2596.3551655027554,0.28258333333333335,2.6877689758275647e-4,5054.760760268333,12
HFMD,Gastrointestinal IDs,Hybrid,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0.4166666666666667,0.875,7224.308259443507,7486.25142232023,2613.926956168123,0.5409583333333333,0.05638587678465434,4724.813858818444,24
HFMD,Gastrointestinal IDs,Hybrid,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.5,0.8611111111111112,8555.01591254888,8294.891039647486,2921.0710202174487,0.5613611111111111,0.004612822887301693,4879.255078594754,36
S. suis,Vector-borne and zoonotic IDs,ETS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0.4166666666666667,0.5833333333333334,41.711961577228834,141.8239993081208,16.462446776537924,0.5174166666666666,0.39022442380240574,5.370321020274224,12
S. suis,Vector-borne and zoonotic IDs,ETS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0.16666666666666666,0.375,43.8799303088892,141.3707947615409,17.19101531008176,0.6140416666666667,3.6248112543912914e-4,5.140588366605412,24
S. suis,Vector-borne and zoonotic IDs,ETS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.16666666666666666,0.3333333333333333,44.67728606827365,151.77805107896035,17.86268566713283,0.6395555555555555,1.6702933602896763e-7,4.792877843458854,36
Melioidosis,Vector-borne and zoonotic IDs,Hybrid,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.9166666666666666,1,88.6437992479087,124.6512156218978,47.224110887374295,0.8133333333333334,4.211088408911934e-5,124.6512156218978,12
Melioidosis,Vector-borne and zoonotic IDs,Hybrid,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.9166666666666666,1,95.07370876516865,129.2736261862243,37.731650508250624,0.61325,0.06135501411454436,129.2736261862243,24
Melioidosis,Vector-borne and zoonotic IDs,Hybrid,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0.5833333333333334,0.8055555555555556,213.61341285947793,351.8706715836395,81.08142777373256,0.40975,0.07073100346284333,144.9034653266977,36
Leptospirosis,Vector-borne and zoonotic IDs,ARIMA + Fourier,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0.75,0.9166666666666666,248.1726324477957,313.2374777690458,98.95266390668428,0.3665833333333333,0.150194272655364,290.14813074290225,12
Leptospirosis,Vector-borne and zoonotic IDs,ARIMA + Fourier,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.6666666666666666,0.9166666666666666,433.44114887985353,502.0796640995489,169.19654581633557,0.21454166666666666,2.2084574025083015e-7,419.43614790057336,24
Leptospirosis,Vector-borne and zoonotic IDs,ARIMA + Fourier,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.9722222222222222,0.9722222222222222,555.9823721527666,819.2516835006912,167.90829184439514,0.5394166666666667,0.0020470073615066475,801.9228796520015,36
