Shortname,Method,Config,SeriesType,Transform,PrimaryStatus,PrimaryPhenotype,RP_Month,BP_Month,Pr_RP,Pr_BP,PrimaryStatusProb,RP_Q025,RP_Q975,BP_Q025,BP_Q975,MethodUsed,FitFailed,SimulationIncluded
Pneumonia,TBATS,Count log,count,log,Debt Repaid,Balanced,34,61,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE
Pneumonia,TBATS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,34,60,NA,NA,NA,NA,NA,NA,NA,TBATS,FALSE,FALSE
Rubella,ETS,Count sqrt,count,sqrt,Suppressed,Suppressed,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
Rubella,ETS,Count log,count,log,Suppressed,Suppressed,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Rubella,ETS,Rate sqrt,rate,sqrt,Suppressed,Suppressed,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
S. suis,ETS,Count sqrt,count,sqrt,Debt Repaid,Balanced,5,7,1,1,1,5,5,7,8,NA,NA,NA
S. suis,ETS,Count log,count,log,Debt Repaid,Balanced,5,7,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
S. suis,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,5,20,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Scarlet fever,TBATS,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,61,NA,0.812,0.3324,0.4796,6,66,34.525000000000006,71,NA,NA,NA
Scarlet fever,TBATS,Count log,count,log,Recovered,Recovered but not balanced,61,NA,0.765,0.22,0.545,6,66,40.650000000000006,68,TBATS,FALSE,TRUE
Scarlet fever,TBATS,Rate sqrt,rate,sqrt,Recovered,Recovered but not balanced,61,NA,0.86,0.3,0.56,8,66,61,70,TBATS,FALSE,TRUE
Scrub Typhus,ETS,Count sqrt,count,sqrt,Debt Repaid,Balanced,28,50,1,1,1,28,28,50,51,NA,NA,NA
Scrub Typhus,ETS,Count log,count,log,Debt Repaid,Balanced,28,54,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Scrub Typhus,ETS,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,29,61,NA,NA,NA,NA,NA,NA,NA,ETS,FALSE,FALSE
Shigellosis,Bayesian structural,Count sqrt,count,sqrt,Recovered,Recovered but not balanced,31,NA,0.7154,0.3514,0.364,3,67,3,68,NA,NA,NA
Shigellosis,Bayesian structural,Count log,count,log,Recovered,Recovered but not balanced,31,NA,0.635,0.325,0.31,5,61,5.6,67,Bayesian structural,FALSE,TRUE
Shigellosis,Bayesian structural,Rate sqrt,rate,sqrt,Suppressed,Suppressed,NA,NA,0.45,0.195,0.55,5.225,66,7.95,67,Bayesian structural,FALSE,TRUE
Syphilis,Bayesian structural,Count sqrt,count,sqrt,Debt Repaid,Balanced,34,40,0.4288,0.2996,0.2996,9,60,14,66,NA,NA,NA
Syphilis,Bayesian structural,Count log,count,log,Suppressed,Suppressed,NA,NA,0.29,0.165,0.495,0,57,1.8,67,Bayesian structural,FALSE,TRUE
Syphilis,Bayesian structural,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,31,37,0.325,0.21,0.21,27,60,33,57,Bayesian structural,FALSE,TRUE
Typhoid,Hybrid,Count sqrt,count,sqrt,Debt Repaid,Balanced,30,54,1,1,1,28,36,52,61,NA,NA,NA
Typhoid,Hybrid,Count log,count,log,Debt Repaid,Balanced,30,55,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
Typhoid,Hybrid,Rate sqrt,rate,sqrt,Debt Repaid,Balanced,30,57,NA,NA,NA,NA,NA,NA,NA,Hybrid,FALSE,FALSE
