จังหวัด-value,จังหวัด-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,AGG(# ลักษณะจำนวน)-alias,disease_copy_alias,disease_value
เพชรบุรี,เพชรบุรี,12.9526,12.95,99.615,99.615,0,,
พิษณุโลก,พิษณุโลก,17.0334,17.03,100.5361,100.536,0,,
พิจิตร,พิจิตร,16.2863,16.29,100.343,100.343,1,,
พัทลุง,พัทลุง,7.4931,7.49,100.0239,100.024,0,,
พังงา,พังงา,8.7393,8.74,98.419,98.419,1,,
พะเยา,พะเยา,19.2706,19.27,100.1549,100.155,0,,
พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.3925,14.39,100.5363,100.536,2,,
ปัตตานี,ปัตตานี,6.7508,6.75,101.3217,101.322,0,,
ปราจีนบุรี,ปราจีนบุรี,14.0224,14.02,101.5734,101.573,0,,
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.8015,11.80,99.7248,99.725,0,,
ปทุมธานี,ปทุมธานี,14.0966,14.10,100.6276,100.628,1,,
บุรีรัมย์,บุรีรัมย์,14.9638,14.96,103.0636,103.064,0,,
บึงกาฬ,บึงกาฬ,18.1758,18.18,103.6605,103.661,0,,
น่าน,น่าน,18.8276,18.83,100.7959,100.796,0,,
นราธิวาส,นราธิวาส,6.1836,6.18,101.7328,101.733,0,,
นนทบุรี,นนทบุรี,13.9646,13.96,100.3833,100.383,0,,
นครสวรรค์,นครสวรรค์,15.6249,15.62,100.3811,100.381,1,,
นครศรีธรรมราช,นครศรีธรรมราช,8.5802,8.58,99.719,99.719,2,,
นครราชสีมา,นครราชสีมา,14.966,14.97,102.0706,102.071,14,,
นครพนม,นครพนม,17.407,17.41,104.6013,104.601,0,,
นครปฐม,นครปฐม,13.9141,13.91,100.0973,100.097,0,,
นครนายก,นครนายก,14.2366,14.24,101.1628,101.163,0,,
ตาก,ตาก,16.5288,16.53,98.8911,98.891,0,,
ตราด,ตราด,12.2035,12.20,102.4186,102.419,0,,
ตรัง,ตรัง,7.5629,7.56,99.5565,99.557,0,,
เชียงใหม่,เชียงใหม่,18.7004,18.70,98.6186,98.619,0,,
เชียงราย,เชียงราย,19.7341,19.73,99.8857,99.886,0,,
ชุมพร,ชุมพร,10.3175,10.32,99.0359,99.036,0,,
ชัยภูมิ,ชัยภูมิ,16.0318,16.03,101.8278,101.828,3,,
ชัยนาท,ชัยนาท,15.1598,15.16,100.0348,100.035,0,,
ชลบุรี,ชลบุรี,13.0932,13.09,101.2253,101.225,0,,
ฉะเชิงเทรา,ฉะเชิงเทรา,13.5782,13.58,101.5642,101.564,1,,
จันทบุรี,จันทบุรี,12.821,12.82,102.1738,102.174,1,,
ขอนแก่น,ขอนแก่น,16.3615,16.36,102.6764,102.676,0,,
กำแพงเพชร,กำแพงเพชร,16.3854,16.39,99.504,99.504,0,,
กาฬสินธุ์,กาฬสินธุ์,16.6423,16.64,103.6746,103.675,0,,
กาญจนบุรี,กาญจนบุรี,14.6947,14.69,99.0766,99.077,0,,
กรุงเทพมหานคร,กรุงเทพมหานคร,13.7249,13.72,100.6034,100.603,4,,
กระบี่,กระบี่,8.1653,8.17,99.0189,99.019,0,,
