สัปดาห์-value,สัปดาห์-alias,จังหวัด-value,จังหวัด-alias,AGG(ข้อมูล)-alias
41,41,จันทบุรี,จันทบุรี,1
41,41,ขอนแก่น,ขอนแก่น,1
41,41,กาญจนบุรี,กาญจนบุรี,2
41,41,กรุงเทพมหานคร,กรุงเทพมหานคร,22
41,41,กระบี่,กระบี่,2
40,40,%all%,%all%,88
40,40,เพชรบุรี,เพชรบุรี,5
40,40,เชียงใหม่,เชียงใหม่,3
40,40,เชียงราย,เชียงราย,2
40,40,อ่างทอง,อ่างทอง,2
40,40,สุโขทัย,สุโขทัย,1
40,40,สุรินทร์,สุรินทร์,1
40,40,สิงห์บุรี,สิงห์บุรี,1
40,40,สมุทรสาคร,สมุทรสาคร,1
40,40,สมุทรสงคราม,สมุทรสงคราม,1
40,40,สมุทรปราการ,สมุทรปราการ,2
40,40,สงขลา,สงขลา,2
40,40,สกลนคร,สกลนคร,1
40,40,ศรีสะเกษ,ศรีสะเกษ,1
40,40,ลำพูน,ลำพูน,1
40,40,ลำปาง,ลำปาง,1
40,40,ราชบุรี,ราชบุรี,2
40,40,ยะลา,ยะลา,1
40,40,ภูเก็ต,ภูเก็ต,3
40,40,พิษณุโลก,พิษณุโลก,2
40,40,พังงา,พังงา,1
40,40,พระนครศรีอยุธยา,พระนครศรีอยุธยา,1
40,40,ปราจีนบุรี,ปราจีนบุรี,1
40,40,บุรีรัมย์,บุรีรัมย์,1
40,40,บึงกาฬ,บึงกาฬ,1
40,40,นนทบุรี,นนทบุรี,3
40,40,นครศรีธรรมราช,นครศรีธรรมราช,1
40,40,นครราชสีมา,นครราชสีมา,5
40,40,นครปฐม,นครปฐม,2
40,40,ตาก,ตาก,3
40,40,ตรัง,ตรัง,1
40,40,ชัยภูมิ,ชัยภูมิ,1
40,40,ชลบุรี,ชลบุรี,4
40,40,ฉะเชิงเทรา,ฉะเชิงเทรา,1
40,40,ขอนแก่น,ขอนแก่น,1
40,40,กำแพงเพชร,กำแพงเพชร,2
40,40,กาฬสินธุ์,กาฬสินธุ์,1
40,40,กรุงเทพมหานคร,กรุงเทพมหานคร,25
39,39,%all%,%all%,62
39,39,แพร่,แพร่,1
39,39,เพชรบุรี,เพชรบุรี,1
39,39,เชียงราย,เชียงราย,1
39,39,อ่างทอง,อ่างทอง,1
39,39,อุตรดิตถ์,อุตรดิตถ์,2
39,39,อุดรธานี,อุดรธานี,1
39,39,สุรินทร์,สุรินทร์,1
39,39,สุราษฎร์ธานี,สุราษฎร์ธานี,1
39,39,สระบุรี,สระบุรี,1
39,39,สงขลา,สงขลา,1
39,39,ลพบุรี,ลพบุรี,1
39,39,ราชบุรี,ราชบุรี,4
39,39,มหาสารคาม,มหาสารคาม,2
39,39,ภูเก็ต,ภูเก็ต,1
39,39,พัทลุง,พัทลุง,1
39,39,ปราจีนบุรี,ปราจีนบุรี,1
39,39,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,2
39,39,ปทุมธานี,ปทุมธานี,2
39,39,บุรีรัมย์,บุรีรัมย์,1
39,39,นนทบุรี,นนทบุรี,4
39,39,นครสวรรค์,นครสวรรค์,1
39,39,นครราชสีมา,นครราชสีมา,1
39,39,นครปฐม,นครปฐม,1
39,39,ชลบุรี,ชลบุรี,5
39,39,ฉะเชิงเทรา,ฉะเชิงเทรา,1
39,39,ขอนแก่น,ขอนแก่น,1
39,39,กาญจนบุรี,กาญจนบุรี,2
39,39,กรุงเทพมหานคร,กรุงเทพมหานคร,19
39,39,กระบี่,กระบี่,1
38,38,%all%,%all%,52
38,38,แพร่,แพร่,2
38,38,เพชรบุรี,เพชรบุรี,2
38,38,เชียงใหม่,เชียงใหม่,2
38,38,หนองคาย,หนองคาย,1
38,38,สระบุรี,สระบุรี,1
38,38,สงขลา,สงขลา,2
38,38,สกลนคร,สกลนคร,1
38,38,ร้อยเอ็ด,ร้อยเอ็ด,1
38,38,ระยอง,ระยอง,1
38,38,มหาสารคาม,มหาสารคาม,2
38,38,ภูเก็ต,ภูเก็ต,3
38,38,พิษณุโลก,พิษณุโลก,1
38,38,พระนครศรีอยุธยา,พระนครศรีอยุธยา,1
38,38,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,2
38,38,ปทุมธานี,ปทุมธานี,1
38,38,นนทบุรี,นนทบุรี,4
38,38,นครราชสีมา,นครราชสีมา,2
38,38,นครปฐม,นครปฐม,1
38,38,ตาก,ตาก,1
38,38,ตราด,ตราด,1
38,38,ชลบุรี,ชลบุรี,5
38,38,กาฬสินธุ์,กาฬสินธุ์,1
38,38,กรุงเทพมหานคร,กรุงเทพมหานคร,14
37,37,%all%,%all%,44
37,37,เพชรบุรี,เพชรบุรี,1
37,37,เชียงใหม่,เชียงใหม่,1
37,37,เชียงราย,เชียงราย,1
37,37,อ่างทอง,อ่างทอง,1
37,37,อุดรธานี,อุดรธานี,1
37,37,สุพรรณบุรี,สุพรรณบุรี,1
37,37,สงขลา,สงขลา,1
37,37,สกลนคร,สกลนคร,1
37,37,ลำพูน,ลำพูน,1
37,37,ราชบุรี,ราชบุรี,1
37,37,ระยอง,ระยอง,1
37,37,มุกดาหาร,มุกดาหาร,1
37,37,มหาสารคาม,มหาสารคาม,1
37,37,ภูเก็ต,ภูเก็ต,2
37,37,พระนครศรีอยุธยา,พระนครศรีอยุธยา,2
37,37,ปทุมธานี,ปทุมธานี,1
37,37,นนทบุรี,นนทบุรี,2
37,37,นครปฐม,นครปฐม,2
37,37,ตาก,ตาก,1
37,37,ตราด,ตราด,1
37,37,ตรัง,ตรัง,1
37,37,ชลบุรี,ชลบุรี,3
37,37,ฉะเชิงเทรา,ฉะเชิงเทรา,1
37,37,กาญจนบุรี,กาญจนบุรี,1
37,37,กรุงเทพมหานคร,กรุงเทพมหานคร,14
36,36,%all%,%all%,36
36,36,เพชรบุรี,เพชรบุรี,2
36,36,เชียงใหม่,เชียงใหม่,2
36,36,สุโขทัย,สุโขทัย,1
36,36,สุราษฎร์ธานี,สุราษฎร์ธานี,1
36,36,สมุทรสาคร,สมุทรสาคร,1
36,36,สกลนคร,สกลนคร,1
36,36,ราชบุรี,ราชบุรี,1
36,36,ระยอง,ระยอง,1
36,36,ยะลา,ยะลา,2
36,36,ภูเก็ต,ภูเก็ต,2
36,36,พิษณุโลก,พิษณุโลก,1
36,36,พัทลุง,พัทลุง,1
36,36,ปทุมธานี,ปทุมธานี,1
36,36,นครสวรรค์,นครสวรรค์,1
36,36,นครพนม,นครพนม,1
36,36,ชลบุรี,ชลบุรี,8
36,36,กาญจนบุรี,กาญจนบุรี,1
36,36,กรุงเทพมหานคร,กรุงเทพมหานคร,8
35,35,%all%,%all%,22
35,35,เชียงราย,เชียงราย,1
35,35,อุบลราชธานี,อุบลราชธานี,1
35,35,สุราษฎร์ธานี,สุราษฎร์ธานี,1
35,35,สมุทรสาคร,สมุทรสาคร,1
35,35,สมุทรปราการ,สมุทรปราการ,1
35,35,สงขลา,สงขลา,1
35,35,มหาสารคาม,มหาสารคาม,1
35,35,ภูเก็ต,ภูเก็ต,3
35,35,นนทบุรี,นนทบุรี,1
35,35,นครปฐม,นครปฐม,1
35,35,ชลบุรี,ชลบุรี,2
35,35,กำแพงเพชร,กำแพงเพชร,1
35,35,กรุงเทพมหานคร,กรุงเทพมหานคร,7
34,34,%all%,%all%,12
34,34,สงขลา,สงขลา,1
34,34,ปราจีนบุรี,ปราจีนบุรี,1
34,34,นนทบุรี,นนทบุรี,1
